abcnews.306755	pr01	Warren plans to take a 'hard look' at running for president	﻿Warren planira „dobro razmisliti” o kandidaturi na predsjedničkim izborima
dailymail.co.uk.298630	pr02	New cancer vaccine can teach the immune system to 'see' rogue cells	﻿Novo cjepivo za rak može naučiti imunosni sustav da „vidi” zloćudne stanice
dailymail.co.uk.298630	pr02	New cancer vaccine can teach the immune system to 'see' rogue cells and kill them	Novo cjepivo za rak može naučiti imunosni sustav da „vidi” i eliminira zloćudne stanice
dailymail.co.uk.298630	pr02	Vaccine teaches immune system to recognise rogue cells as part of treatment	Cjepivo u sklopu liječenja uči imunosni sustav da prepozna zloćudne stanice
dailymail.co.uk.298630	pr02	Method involves extracting immune cells from a patient, altering them in lab	Metoda uključuje uzimanje stanica pacijentova imunosnog sustava i njihovo mijenjanje u laboratoriju
dailymail.co.uk.298630	pr02	They can then 'see' a protein common to many cancers and then reinjected	Stanice mogu „vidjeti” protein uobičajen za mnoge vrste raka i potom se ponovno ubrizgavaju pacijentu.
dailymail.co.uk.298630	pr02	A trial vaccine is showing promising results in patients with a range of cancers.	Pokusno cjepivo pokazuje obećavajuće rezultate kod pacijenata s različitim vrstama raka.
dailymail.co.uk.298630	pr02	One woman treated with the vaccine, which teaches the immune system to recognise rogue cells, saw her ovarian cancer disappear for more than 18 months.	Rak jajnika žene liječene cjepivom koje uči imunosni sustav da prepozna zloćudne stanice nestao je na više od 18 mjeseci.
dailymail.co.uk.298630	pr02	The method involves extracting immune cells from a patient, altering them in the laboratory so they can "see" a protein common to many cancers called HER2, and then reinjecting the cells.	Metoda uključuje uzimanje stanica pacijentova imunosnog sustava, njihovo mijenjanje u laboratoriju na način da mogu „vidjeti” protein HER2 uobičajen za mnoge vrste raka te njihovo ponovno ubrizgavanje pacijentu.
dailymail.co.uk.298630	pr02	Professor Jay Berzofsky, of the US National Cancer Institute in Bethesda, Maryland, said: "Our results suggest that we have a very promising vaccine."	Profesor Jay Berzofsky s Američkog nacionalnog instituta za rak u Bethesdi, u američkoj saveznoj državi Maryland, ističe: „Rezultati daju naslutiti da imamo vrlo obećavajuće cjepivo.”
dailymail.co.uk.298630	pr02	HER2 "drives the growth of several types of cancer," including breast, ovarian, lung and colorectal cancers, Prof Berzofsky explained.	HER2 „upravlja rastom više vrsta raka”, uključujući rak dojke, jajnika, pluća i debelog crijeva, objasnio je prof. Berzofsky.
dailymail.co.uk.298630	pr02	A similar approach of taking immune cells out of patients and "teaching" them how to target cancer cells has worked in treating a type of leukaemia.	Sličan pristup uzimanja imunosnih stanica pacijenata i njihovo „podučavanje” kako da ciljano napadaju stanice raka bio je učinkovit u liječenju jedne vrste leukemije.
dailymail.co.uk.298644	pr04	Perfect time for a pint is 5.30pm on a Saturday, survey finds	﻿Prema istraživanju savršeno je vrijeme za pivo subota u 17:30
dailymail.co.uk.298644	pr04	The summer heatwave has boosted takings for Britain's struggling pubs but heaped more pressure on restaurant chains.	Zahvaljujući ljetnim vrućinama povećali su se prihodi britanskih pubova u lošoj situaciji, ali povećao se pritisak na lance restorana.
dailymail.co.uk.298644	pr04	Pub and bar groups saw sales rise 2.7 per cent in July - but takings in restaurants were down 4.8 per cent, figures revealed.	Prema brojkama, prodaja grupacija pubova i barova u srpnju se povećala za 2,7 posto, ali prihodi restorana smanjili su se za 4,8 posto.
dailymail.co.uk.298644	pr04	Peter Martin, of business consultancy CGA, which compiled the figures, said: "Continued sunshine and England's longer than expected participation in the World Cup meant July followed a similar pattern to the previous month of June, when pubs were up 2.8 per cent, except that restaurants were hit even harder.	Peter Martin iz agencije za poslovno savjetovanje CGA, koja je objavila brojke, rekao je: „Zbog nastavka sunčanog vremena i sudjelovanja Engleske u Svjetskom prvenstvu dulje nego što je očekivano, u srpnju se nastavio uzorak sličan lipnju, kada su prihodi pubova bili veći za 2,8 posto, osim što su prihodi restorana sada još niži.
dailymail.co.uk.298644	pr04	The fall of 1.8 per cent in restaurant trading in June just got worse in July.	Smanjenje prihoda restorana od 1,8 posto u lipnju pogoršalo se u srpnju.
dailymail.co.uk.298644	pr04	Drink-led pubs and bars performed by far the strongest with like-for-likes up more than restaurants were down.	Pubovi i barovi koji uglavnom prodaju piće ostvarili su najbolje rezultate, a lokali koji podjednako prodaju piće i hranu ostvarili su veći porast od pada restorana.
dailymail.co.uk.298644	pr04	Food-led pubs also suffered in the sun, although not as dramatically as the restaurant operators.	I pubovi koji uglavnom prodaju hranu nisu se dobro proveli tijekom sunčanog vremena, iako nisu imali jednako loše rezultate kao restorani.
dailymail.co.uk.298644	pr04	It seems people just wanted to go out for a drink.	Čini se da su ljudi htjeli izaći samo na piće.
dailymail.co.uk.298644	pr04	Across managed pubs and bars drink sales were up 6.6 per cent for the month, with food down three per cent."	U pubovima i barovima prodaja pića taj je mjesec porasla za 6,6 posto, a prodaja hrane smanjila se za tri posto.”
dailymail.co.uk.298644	pr04	Paul Newman, of leisure and hospitality analysts RSM said: "These results continue the trend we've seen since the end of April.	Paul Newman iz agencije za analizu rekreacije i ugostiteljstva RSM izjavio je: „Tim rezultatima nastavlja se trend od kraja travnja.
dailymail.co.uk.298644	pr04	Weather and the impact of major social or sporting events remain the biggest factors when it comes to sales in the out-of-home market.	Vrijeme i učinak velikih društvenih ili sportskih događanja i dalje su najveći čimbenici u prodaji na tržištu izvan doma.
dailymail.co.uk.298644	pr04	It comes as no surprise that restaurant groups continue to struggle, albeit a sales drop of 4.8 per cent year-on-year will be particularly painful on top of ongoing cost pressures.	Nije iznenađenje da grupacije restorana i dalje nailaze na poteškoće, iako će smanjenje prodaje od 4,8 posto u usporedbi s prošlom godinom biti posebno teško u kombinaciji s stalnim pritiskom troškova.
dailymail.co.uk.298644	pr04	The long hot summer could not have come at a worse time for food-led operators and time will tell whether the more moderate temperatures we've experienced in August will provide some much-needed respite."	Dugo vruće ljeto nije moglo stići u gorem trenutku za ugostitelje koji su usmjereni na hranu i vrijeme će pokazati hoće li im umjerene temperature u kolovozu pružiti nužno olakšanje.”
dailymail.co.uk.298644	pr04	Total sales growth across pub and restaurants, including new openings, was 2.7 per cent in July, reflecting the slow down in brand roll-outs.	Ukupno povećanje prodaje pubova i restorana, uključujući one novootvorene, u srpnju je iznosilo 2,7 posto, što odražava usporavanje u predstavljanju novih brendova.
dailymail.co.uk.298644	pr04	The Coffer Peach Tracker industry sales monitor for the UK pub, bar and restaurant sector collects and analyses performance data from 47 operating groups, with a combined turnover of over £9 billion, and is the established industry benchmark.	Coffer Peach Tracker, sustav za praćenje prodaje u britanskom sektoru pubova, barova i restorana, prikuplja i analizira podatke o uspješnosti 47 grupacija s ukupnim prihodima većim od 9 milijardi GBP te je priznat kao referentna vrijednost u industriji.
en.ndtv.com.13004	pr04	PM Modi Tweets Tribute To Jacques Chirac, Calls Him True Global Statesman, Friend Of India	﻿Premijer Modi poslao tweet u čast Jacquesa Chiraca kao pravog svjetskog političkog vođe i prijatelja Indije
en.ndtv.com.13004	pr04	Prime Minister Narendra Modi condoled the death of former French president Jacques Chirac, saying India mourns the loss of a true global statesman and friend.	Indijski premijer Narendra Modi izrazio je sućut zbog smrti bivšeg francuskog predsjednika Jacquesa Chiraca te je izjavio da Indija tuguje zbog gubitka pravog svjetskog političkog vođe i prijatelja.
en.ndtv.com.13004	pr04	Jacques Chirac, who supported India after it conducted nuclear tests in 1998, died on Thursday at age 86. He served as the president of France from 1995 to 2007.	Jacques Chirac, koji je podupro Indiju nakon što je 1998. provela nuklearna testiranja, u četvrtak je preminuo u dobi od 86 godina. Bio je predsjednik Francuske od 1995. do 2007.
en.ndtv.com.13004	pr04	"My deepest condolences on passing away of Jacques Chirac. India mourns the loss of a true global statesman. A friend of India, he played a decisive role in establishing and building India-France Strategic Partnership," Prime Minister Modi tweeted.	„Izražavam duboku sućut zbog smrti Jacquesa Chiraca. Indija tuguje zbog gubitka pravog svjetskog političkog vođe. Kao prijatelj Indije imao je presudnu ulogu u stvaranju i izgradnji strateškog partnerstva Indije i Francuske”, rekao je premijer Modi putem Twittera.
en.ndtv.com.13004	pr04	India and France have a strategic partnership, initiated in January 1998 during Jacques Chirac's first visit to India. He again visited the country as president in 2006.	Indija i Francuska imaju strateško partnerstvo koje je sklopljeno u siječnju 1998. tijekom prvog posjeta Jacquesa Chiraca Indiji. Ponovno je Indiju kao predsjednik posjetio 2006.
en.ndtv.com.13004	pr04	Jacques Chirac was known to have been suffering from ill health for a long time.	Poznato je da je Jacques Chirac već dugo bio lošeg zdravlja.
euronews-en.153797	pr01	Indonesia earthquake tsunami: hundreds killed	﻿Stotine poginulih u cunamiju izazvanom potresom u Indoneziji
euronews-en.153797	pr01	At least 384 people have died after an earthquake hit the Indonesian island of Sulawesi on Friday.	Najmanje 384 ljudi smrtno je stradalo nakon što je potres pogodio indonezijski otok Sulawesi u petak.
euronews-en.153797	pr01	The 7.5-magnitude earthquake triggered a tsunami and has destroyed thousands of homes.	Potres magnitude 7,5 po Richterovoj ljestvici izazvao je cunami i uništio tisuće domova.
euronews-en.153797	pr01	Electricity and communication networks are down with death tolls expected to rise in coming days.	Struja i komunikacijske mreže prestali su raditi, a očekuje se da će u nadolazećim danima broj poginulih još rasti.
euronews-en.153797	pr01	The earthquake hit just off central Sulawesi which is northeast of the Indonesian capital, Jakarta.	Epicentar potresa bio je u blizini središta otoka Sulawesija, koji se nalazi sjeveroistočno od Jakarte, glavnog grada Indonezije.
euronews-en.153797	pr01	Videos are circulating on social media showing the moment of impact.	Društvenim mrežama kruže videozapisi na kojima se može vidjeti trenutak potresa.
euronews-en.153797	pr01	Hundreds of people had gathered for a beach festival in the city of Palu when the tsunami smashed on shore.	Stotine ljudi bile su okupljene na festivalu na plaži u gradu Palu kad je cunami pogodio obalu.
euronews-en.153799	pr02	Syria 'ready' for refugees to return, says Foreign Minister	﻿Sirija je spremna na povratak izbjeglica, kaže ministar vanjskih poslova
euronews-en.153799	pr02	Syria says it's ready for the voluntary return of refugees and is appealing for help to rebuild the country devastated by a more than seven-year long war.	Sirija poručuje da je spremna na dobrovoljni povratak izbjeglica i traži pomoć u obnovi države uništene ratom koji traje više od sedam godina.
euronews-en.153799	pr02	Speaking to the United Nations General Assembly, Foreign minister Walid al-Moualem said conditions in the country are improving.	Obraćajući se Općoj skupštini Ujedinjenih naroda ministar vanjskih poslova Walid al-Moualem rekao je da se uvjeti u zemlji popravljaju.
euronews-en.153799	pr02	"Today the situation on the ground is more stable and secure thanks to progress made in combating terrorism," he said.	„Situacija na terenu danas je stabilnija i sigurnija zahvaljujući napretku učinjenom u borbi protiv terorizma”, rekao je.
euronews-en.153799	pr02	The government continues to rehabilitate the areas destroyed by terrorists to restore normalcy.	Vlada nastavlja obnavljati područja koja su teroristi uništili kako bi ih vratila u normalno stanje.
euronews-en.153799	pr02	All conditions are now present for the voluntary return of refugees to the country they had to leave because of terrorism and the unilateral economic measures that targeted their daily lives and their livelihoods.	Prisutni su svi uvjeti za dobrovoljan povratak izbjeglica u državu koju su morali napustiti zbog terorizma i jednostranih ekonomskih sankcija koje su utjecale na njihov svakodnevni život i egzistenciju.
euronews-en.153799	pr02	The UN estimates that more than 5.5 million Syrians have fled the country since the war began in 2011.	UN procjenjuje da je od početka rata 2011. zemlju napustilo više od 5,5 milijuna Sirijaca.
euronews-en.153799	pr02	Another six million people still living in the country are in need of humanitarian assistance.	Još šest milijuna ljudi koji i dalje žive u zemlji trebaju humanitarnu pomoć.
euronews-en.153799	pr02	Al-Moualem said the Syrian regime would welcome help in rebuilding the devastated country.	Al-Moualem je izjavio da bi sirijskom režimu dobro došla pomoć u obnovi uništene zemlje.
euronews-en.153799	pr02	But he stressed that it would not accept conditional assistance or help from countries that sponsored the insurgency.	No naglasio je da neće prihvatiti uvjetovanu potporu ili pomoć od zemalja koje su podupirale pobunu.
euronews-en.153800	pr03	Erdogan get mixed reception in Cologne	﻿Različite reakcije na Erdoganov dolazak u Köln
euronews-en.153800	pr03	There were smiles and blue skies on Saturday (September 29) as the leaders of Turkey and Germany met for breakast in Berlin.	Subota (29. rujna) kada su se čelnici Turske i Njemačke sastali na doručku u Berlinu protekla je u znaku osmijeha i lijepog vremena.
euronews-en.153800	pr03	It's the last day of President Erdogan's controversial visit to Germany - which is aimed at repairing relations beteen the NATO allies.	To je posljednji dan kontroverznog posjeta predsjednika Erdogana Njemačkoj čiji je cilj bio popravak odnosa između saveznika u NATO-u.
euronews-en.153800	pr03	They've fallen out over issues including human rights, press freedom and Turkey's accession to the EU.	Razilazili su se u pitanjima koja uključuju ljudska prava, slobodu medija i pristupanje Turske Europskoj uniji.
euronews-en.153800	pr03	Erdogan then headed for Cologne to open a giant new mosque.	Erdogan je potom otputovao u Köln kako bi otvorio ogromnu novu džamiju.
euronews-en.153800	pr03	The city is home to the largest Turkish population outside Turkey.	Taj je grad dom najveće turske populacije izvan Turske.
euronews-en.153800	pr03	Police cited security reasons to block a 25,000-strong crowd from gathering in front of the mosque, but plenty of supporters turned out nearby to see their president.	Policija je navodeći sigurnosne razloge spriječila okupljanje gomile od 25.000 ljudi ispred džamije, ali mnogo se pristaša pojavilo u blizini kako bi vidjeli svog predsjednika.
euronews-en.153800	pr03	Hundreds of anti-Erdogan protesters - many of them Kurdish - also made their voices heard, condemning both Erdogan's policies and the German government's decision to welcome him to the country.	Stotine prosvjednika protiv Erdogana, među kojima su mnogi Kurdi, također su zagovarale svoje mišljenje, osuđujući i Erdoganovu politiku i odluku njemačke vlade da mu požele dobrodošlicu u zemlju.
euronews-en.153800	pr03	The dueling protests reflect the divisiveness of a visitor hailed as a hero by some German Turks and reviled as an autocrat by others.	Ta dva prosvjeda odraz su podijeljenosti mišljenja u vezi s gostom kojeg su neki njemački Turci pozdravili kao junaka, a drugi prezreli kao autokrata.
euronews-en.153835	pr04	Death toll from Indonesia tsunami rises to 832	﻿Broj preminulih u indonezijskom tsunamiju povećao se na 832
euronews-en.153835	pr04	The death toll in Indonesia's earthquake and tsunami has climbed to 832, the country's disaster agency said early Sunday.	Indonezijska agencija za elementarne nepogode rano u nedjelju izjavila je da se broj preminulih u indonezijskom potresu i tsunamiju povećao na 832.
euronews-en.153835	pr04	Many people were reported trapped in the rubble of buildings brought down in the 7.5 magnitude earthquake which struck Friday and triggered waves as high as 20 feet, agency spokesman Sutopo Purwo Nugroho told a news conference.	Mnogo je ljudi prema izvješćima ostalo zarobljeno u ruševinama nakon potresa magnitude 7,5 koji se dogodio u petak i uzrokovao valove visine do 6 metara, izjavio je glasnogovornik agencije Sutopo Purwo Nugroho na konferenciji za medije.
euronews-en.153835	pr04	The city of Palu, which has more than 380,000 people, was strewn with debris from collapsed buildings.	Grad Palu, koji ima više od 380 000 stanovnika, bio je prepun ostataka srušenih građevina.
foxnews.100074	pr04	Pompeo accuses Syria of using chemical weapons in May attack	﻿Pompeo optužio Siriju za upotrebu kemijskog oružja u svibanjskom napadu
foxnews.100074	pr04	Secretary of State Mike Pompeo, speaking on the sidelines of the U.N. General Assembly on Thursday, said the United States has concluded the Syrian government used chemical weapons in an attack earlier this year.	Američki državni tajnik Mike Pompeo izjavio je na Općoj skupštini Ujedinjenih naroda održanoj u četvrtak da je SAD zaključio da su sirijske vlasti upotrijebile kemijsko oružje u napadu koji se dogodio ranije ove godine.
foxnews.100074	pr04	Pompeo said U.S. officials had determined Syrian President Bashar Assad's government had used chlorine in the attack on opposition forces in Idlib province on May 19.	Pompeo je rekao da su američki dužnosnici utvrdili da je vlada sirijskog predsjednika Bashara Assada upotrijebila klor u napadu na oporbene snage u provinciji Idlib 19. svibnja.
foxnews.100074	pr04	"The Assad regime is responsible for innumerable atrocities some of which rise to the level of war crimes and crimes against humanity," Pompeo told a news conference.	„Assadov režim odgovoran je za bezbrojne strahote, od kojih su neke čak i na razini ratnih zločina i zločina protiv čovječnosti”, izjavio je Pompeo na konferenciji za medije.
foxnews.100074	pr04	U.S. officials in May said they'd received reports consistent with a chemical attack in northwest Syria but did not offer a definitive conclusion at the time.	Američki dužnosnici u svibnju su rekli da su primili izvješća koja ukazuju na kemijski napad u sjeverozapadnoj Siriji, ali u tom trenutku još nisu donijeli konačan zaključak.
foxnews.100074	pr04	In April 2018, the U.S., Britain and France launched airstrikes in Syria in retaliation for what they described as a suspected chemical attack that killed more than 40 people earlier that month.	SAD, UK i Francuska započeli su zračne napade u Siriji u travnju 2018. kao odgovor na, prema njihovom opisu, pretpostavljeni kemijski napad u kojem je ranije tog mjeseca ubijeno 40 ljudi.
foxnews.100074	pr04	"This is different in some sense because it was chlorine... but know that President Trump has been pretty vigorous in protecting the world from the use of chemical weapons," Pompeo said.	„Ovo je na neki način drugačije jer se radi o kloru... Ali znajte da je predsjednik Trump duboko predan tome da zaštiti svijet od upotrebe kemijskog oružja”, rekao je Pompeo.
foxnews.100074	pr04	He added that the U.S. would provide an additional $4.5 million to the Organization for the Prohibition of Chemical Weapons to fund investigations into other instances of suspected Syrian chemical-weapons use.	Dodao je da će SAD osigurati dodatnih 4,5 milijuna USD za Organizaciju za zabranu kemijskog oružja u svrhu financiranja istraga drugih slučajeva sumnje na sirijsku upotrebu kemijskog oružja.
foxnews.100074	pr04	Pompeo also called on the Assad government to release thousands of unjustly detained prisoners, including American journalist Austin Tice, who has been missing and presumed held by the government for seven years.	Pompeo je od Assadove vlade zatražio i da na slobodu pusti tisuće nepravedno zatočenih zatvorenika, među ostalim američkog novinara Austina Ticea, koji se sedam godina vodi kao nestala osoba uz sumnju da ga vlada drži kao zatvorenika.
foxnews.100074	pr04	"He is just one of a number of American citizens held in Syria and we call upon the Syrian regime to release them all."	„On je samo jedan od brojnih američkih državljana koji su zatočeni u Siriji i tražimo od sirijskog režima da ih sve pusti na slobodu.”
gateway-zh.135	pr01	Matt de Grood shouldn't be punished because of schizophrenia stigma	﻿Ne bismo trebali kažnjavati Matta de Grooda zbog stigme prema shizofreniji
gateway-zh.135	pr01	In 2016, Matthew de Grood, the man who killed five people at a house party in Calgary, was found to be not criminally responsible for his actions.	Na suđenju 2016. godine utvrđeno je da Matthew de Grood, muškarac koji je ubio petero ljudi na kućnoj zabavi u Calgaryju (Kanada), nije kazneno odgovoran za svoja djela.
gateway-zh.135	pr01	Now, in 2019, there is a hearing to determine whether or not he should be allowed more freedoms, such as unsupervised outings. The decision won't come for a few more weeks, so in the meantime we're left to wonder whether or not this is a good idea. There are two sides to this: one citing his violent behaviour in the past, calling to prevent it from happening again, and the other side which believes in the power of change and rehabilitation.	Sada, 2019. godine, održava se saslušanje radi utvrđivanja treba li mu dozvoliti više sloboda, poput izlazaka bez nadzora. Do donošenja odluke proći će još nekoliko tjedana, pa u međuvremenu možemo samo razmišljati je li to dobra ideja. Situaciju možemo gledati na dva načina. S jedne strane, možemo se osvrnuti na njegovo nasilno ponašanje u prošlosti i tražiti da se spriječi ponavljanje zločina, a s druge strane, možemo vjerovati u moć promjene i rehabilitacije.
gateway-zh.135	pr01	First, let's examine the more pessimistic side. De Grood did stab and kill five people during a psychotic break. It was a violent and unpredictable attack. He suffers from schizophrenia, which is why he was found not criminally responsible, but has since been seeing a psychiatrist and taking his medication. His psychiatrist, Dr. Santoch Rai, has said in front of the review board that "if Matthew de Grood were to commit another offence, it would be severe." Despite his perceived improvement, there is still risk of re-offense. But is this reason enough to remain afraid? Is it enough to keep de Grood locked up?	Prvo ćemo analizirati pesimističniju stranu. De Grood je izbo i ubio petero ljudi u psihotičnoj epizodi. Radilo se o nasilnom i nepredvidivom napadu. On pati od shizofrenije, zbog čega je utvrđeno da nije kazneno odgovoran, ali otad posjećuje psihijatra i pije lijekove. Njegov psihijatar dr. Santoch Rai rekao je pred nadzornim odborom da „ako Matthew počini još jedno kazneno djelo, ono će biti ozbiljno.” Iako je naizgled postigao napredak, i dalje postoji rizik od ponovnog počinjenja kaznenog djela. No je li to dovoljan razlog da se nastavimo bojati? Je li to dovoljno da držimo de Grooda zatvorenog?
gateway-zh.135	pr01	As long as de Grood continues to take his medication, there isn't a huge risk of reoffense, so why are people so concerned? I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear. Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders. But others, including schizophrenia, remain highly stigmatized. This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people.	Ako de Grood nastavi piti lijekove, ne postoji veliki rizik od ponovnog počinjenja kaznenog dijela. Zašto su onda ljudi tako zabrinuti? Mislim da stigma o ljudima s psihičkim bolestima, pogotovo onima sa shizofrenijom, ima veliki utjecaj na taj strah. Određene su bolesti postale manje stigmatizirane, poput poremećaja raspoloženja i anksioznosti. No druge, uključujući shizofreniju, i dalje su veoma stigmatizirane. Jedan od glavnih razlog za to predstavlja često prikazivanje shizofreničara kao opasnih ljudi koji u glavi čuju glasove koji ih navode da ubijaju ljude.
gateway-zh.135	pr01	That was the case in this situation, but these instances are rare, and that's perhaps why we remember them so well when they occur. In fact, the majority of schizophrenic individuals are nonviolent, and are more likely to be the victims rather than the perpetrators of crime or violence. In light of this, it seems unreasonable to insist that de Grood be denied certain freedoms when the fear of re-offense is based more on a prejudiced attitude towards people with schizophrenia than actual likelihood.	Upravo se to dogodilo u ovom slučaju, ali takvi su primjeri rijetki i možda ih baš zato tako dobro pamtimo kad se dogode. Međutim, pojedinci sa shizofrenijom većinom nisu nasilni te je izglednije da će biti žrtve zločina ili nasilja nego počinitelji. S obzirom na to, nije razumno zahtijevati da se de Groodu uskraćuju određene slobode kad je strah od ponovnog počinjenja zasnovan više na predrasudama prema ljudima sa shizofrenijom nego na stvarnoj vjerojatnosti.
gateway-zh.135	pr01	I don't believe de Grood should ever be unsupervised permanently. A parole-like system where he has to check in to make sure he's still taking his medication could work well. Arguing that he or other mentally ill people remain institutionalized unless absolutely necessary is a form of segregation. It perpetuates the idea that mentally ill people, those with schizophrenia in particular, cannot ever mesh with society; thus continuing the stigma and perpetuating the idea that they are dangerous criminals. He was found not criminally responsible by a court of law, so why should he be treated like a prisoner instead of someone who was ill and is now better?	Mislim da de Grood nikad ne bi trebao trajno biti ostavljen bez nadzora. Dobro rješenje mogla bi biti neka vrsta uvjetne slobode, gdje bi trebao dolaziti na provjere radi utvrđivanja pije li i dalje lijekove. Tvrdnje da bi on ili drugi psihički bolesni ljudi trebali ostati u ustanovama u slučajevima u kojima to nije zaista neophodno predstavljaju oblik segregacije. To pothranjuje stavove da se psihički bolesni ljudi, posebno oni sa shizofrenijom, nikad ne mogu uklopiti u društvo i podupire stigmu i ideju da se radi o opasnim zločincima. Na sudu je utvrđeno da nije kazneno odgovoran. Zašto se onda odnositi prema njemu kao prema zatvoreniku umjesto nekome tko je bio bolestan i sad je u boljem stanju?
independent.226349	pr02	Russian Grand Prix: Lewis Hamilton closes in on world title after team orders hand him win over Sebastian Vettel	﻿Velika nagrada Rusije: Lewis Hamilton sve je bliži osvajanju svjetskog naslova nakon što su mu momčadske naredbe donijele pobjedu nad Sebastianom Vettelom
independent.226349	pr02	It became clear from the moment that Valtteri Bottas qualified ahead of Lewis Hamilton on Saturday that Mercedes" team orders would play a large part in the race.	Od trenutka kad se Valtteri Bottas u subotu kvalificirao ispred Lewisa Hamiltona postalo je jasno da će Mercedesove timske naredbe igrati veliku ulogu u utrci.
independent.226349	pr02	From pole, Bottas got a good start and almost hung Hamilton out to dry as he defended his position in the first two turns and invited Vettel to attack his teammate.	Bottas je dobro startao s vodeće pozicije i braneći svoju poziciju u prva dva zavoja ostavio Hamiltona u nezavidnom položaju, pružajući Vettelu priliku da napadne njegovog timskog kolegu.
independent.226349	pr02	Vettel went into the pits first and left Hamilton to run into the traffic at the tail of the pack, something which should have been decisive.	Vettel je prvi ušao u boks i ostavio Hamiltona da se vrati na stazu na začelju kolone, što je trebalo biti odlučujuće.
independent.226349	pr02	The Mercedes pitted a lap later and came out behind Vettel, but Hamilton went ahead after some wheel-to-wheel action that saw the Ferrari driver reluctantly leave the inside free at risk of holding out after a double-move to defend on the third corner.	Mercedesovi vozači u boksove su otišli krug kasnije i vratili se na stazu iza Vettela, no Hamilton je sve više napredovao nakon nekoliko bliskih duela s vozačem Ferrarija koji je nevoljko ostavio unutarnju stranu slobodnom zbog straha od kazne jer je već dva puta mijenjao putanju u trećem zavoju.
independent.226349	pr02	Max Verstappen started from the back row of the grid and was in seventh by the end of the first lap on his 21st birthday.	Max Verstappen startao je iz pozadine i probio se do sedme pozicije do kraja prvog kruga, i to na svoj 21. rođendan.
independent.226349	pr02	He then led for a large part of the race as he held onto his tyres to target a quick finish and overtake Kimi Raikkonen for fourth.	Zatim je veći dio utrke bio na čelu te je zadržao svoje startne gume nadajući se brzom finišu i pretjecanju Kimija Raikkonena na četvrtom mjestu.
independent.226349	pr02	He eventually came into the pits on the 44th lap but was unable to increase his pace in the remaining eight laps as Raikkonen took fourth.	U konačnici je u boks otišao u 44. krugu, ali nije mogao dovoljno ubrzati u preostalih osam krugova te je Raikkonen zadržao četvrtu poziciju.
independent.226349	pr02	It's a difficult day because Valtteri did a fantastic job all weekend and was a real gentleman told let me by.	Ovo je težak dan jer je Valtteri radio fantastičan posao cijelog vikenda i bio je pravi gospodin nakon što mu je rečeno da me propusti.
independent.226349	pr02	The team have done such an exceptional job to have a one two," said Hamilton.	Tim je odradio izvrstan posao kako bismo uzeli prvo i drugo mjesto”, rekao je Hamilton.
kcal.279	pr03	Father Remains Hopeful That Suspect Who Fatally Shot Son One Year Ago Will Be Caught	﻿Otac se nada da će osumnjičeni koji je prije godinu dana hicem usmrtio njegovog sina biti uhvaćen
kcal.279	pr03	It's been one year since a 20-year-old from Long Beach was fatally shot, but the victim's family isn't giving up hope that the shooter will be caught.	Prošla je godina dana otkad je 20-godišnjak iz Long Beacha ubijen, ali žrtvina obitelj ne odustaje od nade da će ubojica biti uhvaćen.
kcal.279	pr03	"I wish I could trade places with you son, I wish I could trade places with you," Guy Alford, the victim's father, said.	„Volio bih da mogu zamijeniti mjesta s tobom, sine, volio bih da mogu zamijeniti mjesta s tobom”, rekao je Guy Alford, žrtvin otac.
kcal.279	pr03	Alford came back to the scene of the crime exactly one year after his son, Guy Alford III, was gunned down at a Jack In The Box near 52nd and Atlantic. He said he wanted to call attention to his son's unsolved murder.	Alford se vratio na mjesto zločina točno godinu dana nakon što je njegov sin, Guy Alford III., ubijen ispred restorana brze hrane „Jack In The Box” blizu raskrižja 52. i Atlantske avenije. Rekao je da želi skrenuti pozornost na neriješeno ubojstvo svog sina.
kcal.279	pr03	"Somebody knows something, they need to say something," he said.	„Netko nešto zna i mora nešto reći”, rekao je.
kcal.279	pr03	Security video, which has never been released, showed Alford stopped in the drive-thru when a second car pulled up behind him. Three suspects were then seen getting out of that car. One of them walked up to the driver's side, and shot Alford. The four people in Alford's car jumped out and ran. The suspects were then seen getting back into their car and driving away.	Snimka osiguranja, koja nikad nije objavljena, pokazala je da je Alford stao u drive-thru kada je drugi automobil stao iza njega. Na snimci se vidi da tri osumnjičena izlaze iz automobila. Jedan od njih prišao je vozačevoj strani i upucao Alforda. Četvero ljudi iz Alfordovog automobila iskočilo je i pobjeglo. Tada se vidi da se osumnjičeni vraćaju u automobil i odlaze.
kcal.279	pr03	"Wherever this coward is, he will get caught," Alford said.	„Gdje god se ta kukavica skriva, uhvatit će ga”, rekao je Alford.
kcal.279	pr03	This grieving father said he has no idea who would want to hurt his son, and he said he still didn't know who was in the car with him when he was shot.	Ožalošćeni otac rekao je da nema pojma tko bi želio nauditi njegovom sinu i dodao da još uvijek ne zna tko je s njim bio u automobilu kada je upucan.
kcal.279	pr03	"They upped and ran out of my son's car like that, where did you run to," Alford said. "Did you go back and try to help him or what? Nobody said nothing."	„Samo tako su istrčali iz automobila mog sina, kamo ste pobjegli”, rekao je Alford. „Jeste li se vratili i pokušali mu pomoći? Nitko nije ništa rekao.”
