abcnews.306755	st01	Warren plans to take a 'hard look' at running for president	Warren planira ozbiljno razmisliti o kandidaturi za predsjednicu
cnn.385761	st11	Nestle tightens controls on coffee beans after weedkiller scare	Nestlé postrožio inspekciju kave nakon panike oko herbicida
cnn.385761	st11	The world's largest coffee company said in a statement Friday that it had found glyphosate residues close to the maximum allowed in some deliveries of green coffee beans.	Najveća tvrtka za proizvodnju kave u svijetu je u petak izjavila da je u nekim isporukama zelene kave pronađena skoro maksimalna dozvoljena količina ostataka glifosata.
cnn.385761	st11	Glyphosate is the key ingredient in Monsanto's weedkiller, Roundup. In the United States, juries have awarded huge monetary damages to people who say their cancer was caused by exposure to glyphosate. Bayer, which owns Monsanto, says the herbicide is safe when used properly, as does the US Environmental Protection Agency.	Glifosat je glavni sastojak Roundupa, herbicida koji proizvodi Monsanto. U SAD-u su porote dodijelile ogromne odštete ljudima koji tvrde da im je izlaganje glifosatu uzrokovalo rak. Vlasnik Monsanta je Bayer iz kojeg tvrde da je herbicid siguran za korištenje uz ispravnu upotrebu, a s tom tvrdnjom se slaže i Američka agencija za zaštitu okoliša (Environmental Protection Agency, EPA).
cnn.385761	st11	Neumann Kaffee Gruppe (NKG), one of the world's largest traders, said glyphosate was one of a number of substances it monitored on the coffee it buys. Nestle buys some of its coffee beans from NKG. It was too early to say what consequences Nestle's tighter controls would have on NKG, a spokesperson said.	Iz tvrtke Neumann Kaffee Gruppe (NKG), jednog od vodećih svjetskih distributera kave, izjavili su da je glifosat na popisu tvari o kojima vode računa pri kupovanju kave. Nestlé (NSRGF) kupuje određenu količinu kave u zrnu od NKG-a. Poručili su da je prerano za donošenje zaključaka o tome kakve će posljedice Nestléove strože inspekcije imati na NKG.
cnn.385761	st11	Nestle's (NSRGF) decision to increase the frequency of checks was unlikely to disrupt global coffee supply chains, a spokesperson said. "This is not a new process, we are just reinforcing controls," the spokesperson told CNN Business. Tests were done before the coffee was shipped from the countries of origin.	Nadodali su kako nije vjerojatno da će Nestléova odluka o češćim provjerama poremetiti svjetske lance opskrbe kavom. „To nije novi proces, samo pojačavamo kontrole“, izjavili su za CNN Business. Provjere su se provodile prije nego što bi kava bila isporučena iz zemalja podrijetla.
cnn.385761	st11	Nestle would start with suppliers in Indonesia and Brazil, since these countries are among the world's biggest coffee producers.	Nestlé namjerava krenuti s dobavljačima iz Indonezije i Brazila, s obzirom na to da su te zemlje među najvećim proizvođačima kave u svijetu.
cnn.385761	st11	"Our agronomists will continue to work with coffee farmers to help them improve their weed management practices, including the appropriate use of herbicides and adoption of other weeding methods," the Swiss company said.	„Naši će agronomi nastaviti surađivati s uzgajivačima kave kako bi im pomogli poboljšati praksu suzbijanja korova, što uključuje prikladan odabir herbicida i usvajanje drugih metoda za uklanjanje korova“, priopćili su iz švicarske tvrtke.
cnn.385761	st11	Brands such as Nescafe and Nespresso make up a sizable chunk of Nestle's powdered and liquid beverages business, which generated sales of 21.6 billion Swiss francs ($21.7 billion) in 2018. Nestle last year agreed a deal to sell Starbucks' packaged coffees and teas around the world.	Proizvodi kao što su Nescafe i Nespresso najprodavaniji su iz Nestléovog asortimana napitaka u prahu i tekućih napitaka te su im 2018. napravili promet od 21,6 milijardi švicarskih franaka (više od 136 milijardi kuna). Prošle je godine sklapanjem ugovora Nestlé plasirao kave i čajeve od Starbucksa na svjetsko tržište.
cnn.385761	st11	Does glyphosate cause cancer?	Uzrokuje li glifosat rak?
cnn.385761	st11	Glyphosate is used on more than 100 food crops, according to the EPA. Scientists at an environmental advocacy group with links to the organic food industry say several popular breakfast cereals contain doses of the chemical that are higher than they consider safe for children.	Glifosat se koristi na više od stotinu usjeva prema podacima od EPA-a. Znanstvenici iz interesne skupine za okoliš vezane uz industriju organske hrane tvrde da nekoliko popularnih brendova pahuljica sadržavaju prevelike količine glifosata koje nisu sigurne za djecu.
cnn.385761	st11	Still, the EPA says glyphosate is not a carcinogen and that it poses no public health risks. Ecological risks include damage to pollinators and the problem of weed resistance, the EPA said in a statement in April.	Ipak, EPA tvrdi da glifosat nije kancerogen i da ne predstavlja prijetnju javnom zdravlju. Prijetnje okolišu predstavljaju štete nanesene oprašivačima i problem otpornosti korova, izjavili su iz EPA-a u travnju.
cnn.385761	st11	But that has not stopped thousands of people from filing lawsuits against Monsanto alleging that exposure to Roundup caused them or their loved ones to develop cancer.	Međutim, to nije zaustavilo tisuće ljudi od podnošenja tužbi protiv Monsanta s optužbom da je njima ili nekome bliskom izloženost Roundupu uzrokovala rak.
cnn.385761	st11	Earlier this year, a jury ordered Bayer to pay a California couple $2 billion in damages after they claimed that Roundup, used on their property for more than three decades, had given them both Non-Hodgkin lymphoma within four years of one other. Bayer is contesting the verdict.	Ranije ove godine, jedna je porota odlučila da Bayer mora platiti 2 milijarde dolara paru iz Kalifornije koji je tvrdio da im je Roundup, koji su na imanju koristili više od trideset godina, uzrokovao ne-Hodgkinov limfom oboma unutar 4 godine razlike. Bayer se žali na presudu.
cnn.385761	st11	A 2015 study by the World Health Organization's International Agency for Research on Cancer found that glyphosate was "probably carcinogenic to humans," based on "limited" evidence of cancer in humans and "sufficient" evidence of cancer in experimental animals. However, a joint panel of the WHO and the United Nations Food and Agriculture Organization later concluded that glyphosate is unlikely to pose a carcinogenic risk to humans from exposure through diet.	Istraživanjem provedenim 2015. Međunarodna agencija za istraživanje raka Svjetske zdravstvene organizacije pokazala je da je glifosat „vjerojatno kancerogen za ljude“ na temelju „ograničenih“ dokaza raka kod ljudi i „dovoljnog“ dokaza raka kod eksperimentalnih životinja. Međutim, zajedničko povjerenstvo Svjetske zdravstvene organizacije i Organizacije za hranu i poljoprivredu Ujedinjenih naroda je kasnije zaključilo da nije vjerojatno da izloženost glifosatom kroz prehranu ljudima predstavlja kancerogeni rizik.
cnn.385803	st16	Pet owners who fail to walk their dogs face $2,700 fine	﻿Vlasnicima kućnih ljubimaca koji ne šeću svoje pse prijeti novčana kazna od 2.700,00 australskih dolara
cnn.385803	st16	Owners can face heavy on-the-spot fines if they fail to provide basics like shelter, food and water. People who confine dogs for 24 hours must also allow them to move freely for the next two hours or face prosecution.	Vlasnici mogu na licu mjesta dobiti velike novčane kazne ukoliko ne osiguraju osnovne potrepštine poput skloništa, hrane i vode. Ljudi koji zatvaraju pse na 24 sata moraju im također dopustiti slobodno kretanje sljedeća dva sata, inače im prijeti kazneni progon.
cnn.385803	st16	The territory is the first jurisdiction in Australia to recognize animal sentience.	Ovaj teritorij prva je jurisdikcija u Australiji koja je priznala svijest životinja. 
cnn.385803	st16	"Modern animal welfare is about considering how an animal is coping both mentally and physically with the conditions in which it lives," ACT City Service Minister Chris Steel, who secured the bill, said in a media release.	„Moderna skrb za životinje podrazumijeva razmatranje o tome kako se životinja mentalno i fizički nosi s uvjetima u kojima živi“, ministar gradskih usluga ACT-a Chris Still, koji je osigurao provođenje zakona, rekao je u izjavi za medije.
dailymail.co.uk.298602	st13	One in five children have secret social media accounts that they hide from their parents	Svako peto dijete ima tajni račun na društvenim mrežama koji skriva od svojih roditelja
dailymail.co.uk.298602	st13	One in five children - some as young as 11 - have secret social media accounts that they hide from their parents and teachers, survey reveals	Istraživanjem se otkrilo da svako peto dijete - od kojih neka imaju samo 11 godina - ima tajni račun na društvenim mrežama koji skriva od svojih roditelja i učitelja.
dailymail.co.uk.298602	st13	Survey of 20,000 secondary school pupils revealed growth in "fake Insta" pages	U istraživanju u kojem je sudjelovalo 20 000 učenika srednjih škola pokazao se porast "lažnih Insta" profila
dailymail.co.uk.298602	st13	The news has heightened fears that sexual content is being posted	Ova vijest pojačala je strah da se objavljuje seksualni sadržaj
dailymail.co.uk.298602	st13	Twenty per cent of pupils said they have a "main" account to show parents	Dvadeset posto učenika reklo je da imaju "glavni" račun koji pokazuju roditeljima
dailymail.co.uk.298602	st13	One in five children - some as young as 11 - are creating social media accounts that they keep secret from adults.	Svako peto dijete - od kojih neka imaju samo 11 godina - stvara račun na društvenim mrežama koji taji od odraslih.
dailymail.co.uk.298602	st13	A survey of 20,000 secondary school pupils revealed a rapid growth in "fake Insta" accounts - a reference to photo-sharing site Instagram.	U istraživanju u kojem je sudjelovalo 20 000 učenika srednjih škola pokazao se brzi porast "lažnih Insta" profila - što se odnosi na Instagram, web-stranicu za dijeljenje fotografija.
dailymail.co.uk.298602	st13	The news has heightened fears that sexual content is being posted.	Ova vijest pojačala je strah da se objavljuje seksualni sadržaj.
dailymail.co.uk.298602	st13	Twenty per cent of pupils said they operate a sanitised "main" account to show parents, while also having private ones.	Dvadeset posto učenika reklo je da upravljaju očišćenim "glavnim" računom koji pokazuju roditeljima, no da također imaju privatne račune.
dailymail.co.uk.298602	st13	One mother who stumbled across her 13-year-old's daughter's secret site found a teenager urging others to "rape me."	Jedna je majka naišla na tajni profil svoje trinaestogodišnje kćeri gdje je otkrila da tinejdžerica ostale potiče: "Silujte me".
dailymail.co.uk.298602	st13	The research, by Digital Awareness UK and the Headmasters" and Headmistresses" Conference (HMC) of independent schools, found 40 per cent of 11 to 18-year-olds had two profiles, with half of those admitting to keeping private accounts.	U istraživanju agencije Digitalna osviještenost UK-a i udruge Konferencija ravnatelja i ravnateljica (KRR) neovisnih škola pokazalo se da 40% učenika u dobi od 11 do 18 godina ima dva profila, a pola ih je priznalo da imaju tajne račune.
dailymail.co.uk.298602	st13	HMC chief Mike Buchanan said: "It's disturbing so many teenagers are tempted into creating online spaces where parents and teachers cannot find them."	Načelnik KRR-a Mike Buchanan rekao je: "Uznemirujuće je što je toliko tinejdžera u iskušenju da stvore mrežne prostore gdje ih roditelji i učitelji ne mogu pronaći."
dailymail.co.uk.298630	st14	New cancer vaccine can teach the immune system to 'see' rogue cells	﻿Novo cjepivo protiv raka može naučiti imunosni sustav da „vidi" zloćudne stanice
dailymail.co.uk.298630	st14	New cancer vaccine can teach the immune system to 'see' rogue cells and kill them	Novo cjepivo protiv raka može naučiti imunosni sustav da „vidi" zloćudne stanice i ubije ih
dailymail.co.uk.298630	st14	Vaccine teaches immune system to recognise rogue cells as part of treatment	Cjepivo uči imunosni sustav prepoznati zloćudne stanice u sklopu liječenja
dailymail.co.uk.298630	st14	Method involves extracting immune cells from a patient, altering them in lab	Metoda uključuje ekstrakciju imunih stanica iz pacijenta i njihovo mijenjanje u laboratoriju
dailymail.co.uk.298630	st14	They can then 'see' a protein common to many cancers and then reinjected	Tada one mogu „vidjeti" protein zajednički mnogim vrstama raka te ih se ponovno ubrizgava
dailymail.co.uk.298630	st14	A trial vaccine is showing promising results in patients with a range of cancers.	Probno cjepivo daje obećavajuće rezultate u pacijenata s raznim vrstama raka.
dailymail.co.uk.298630	st14	One woman treated with the vaccine, which teaches the immune system to recognise rogue cells, saw her ovarian cancer disappear for more than 18 months.	Kod jedne žene koja je primila cjepivo, koje uči imunosni sustav da prepozna zloćudne stanice, rak jajnika je nestao na više od 18 mjeseci.
dailymail.co.uk.298630	st14	The method involves extracting immune cells from a patient, altering them in the laboratory so they can "see" a protein common to many cancers called HER2, and then reinjecting the cells.	Ova metoda uključuje ekstrakciju imunih stanica iz pacijenata, njihovo mijenjanje u laboratoriju kako bi mogle „vidjeti" protein naziva HER2, zajednički mnogim vrstama raka, te zatim ponovno ubrizgavanje stanica.
dailymail.co.uk.298630	st14	Professor Jay Berzofsky, of the US National Cancer Institute in Bethesda, Maryland, said: "Our results suggest that we have a very promising vaccine."	Profesor Jay Berzofsky, s američkog Nacionalnog centra za rak u Bethesdi u državi Maryland, rekao je: „Naši rezultati upućuju na to da imamo jako obećavajuće cjepivo."
dailymail.co.uk.298630	st14	HER2 "drives the growth of several types of cancer," including breast, ovarian, lung and colorectal cancers, Prof Berzofsky explained.	HER2 „potiče razvoj nekoliko vrsti raka" uključujući rak dojke, rak jajnika, rak pluća te kolorektalni rak, objašnjava profesor Berzofsky. 
dailymail.co.uk.298630	st14	A similar approach of taking immune cells out of patients and "teaching" them how to target cancer cells has worked in treating a type of leukaemia.	Sličan pristup vađenja imunih stanica iz pacijenata te "učenje" tih stanica kako da ciljaju na kancerogene stanice funkcionirao je u liječenju jedne vrste leukemije.
dailymail.co.uk.298644	st15	Perfect time for a pint is 5.30pm on a Saturday, survey finds	﻿Savršeno vrijeme za čašu pive je subotom u 17:30, pokazalo je istraživanje
dailymail.co.uk.298644	st15	The summer heatwave has boosted takings for Britain's struggling pubs but heaped more pressure on restaurant chains.	Ljetni toplinski val povećao je zaradu britanskim pubovima u financijskim problemima, ali je stavio veći pritisak na lance restorana.
dailymail.co.uk.298644	st15	Pub and bar groups saw sales rise 2.7 per cent in July - but takings in restaurants were down 4.8 per cent, figures revealed.	Lanci pubova i kafića zabilježili su rast prodaje od 2,7 posto u srpnju, ali zarada u restoranima pala je za 4,8 posto, prema podacima.
dailymail.co.uk.298644	st15	Peter Martin, of business consultancy CGA, which compiled the figures, said: "Continued sunshine and England's longer than expected participation in the World Cup meant July followed a similar pattern to the previous month of June, when pubs were up 2.8 per cent, except that restaurants were hit even harder.	Peter Martin iz tvrtke za poslovno savjetovanje CGA koja je prikupila te podatke rekao je: „Nastavak sunčanih dana i sudjelovanje Engleske na Svjetskom prvenstvu koje traje dulje od očekivanog rezultiralo je podacima u srpnju sličnim onim iz prethodnog mjeseca lipnja, kada su pubovi bilježili rast od 2,8 posto, osim što su restorani bili još teže pogođeni.
dailymail.co.uk.298644	st15	The fall of 1.8 per cent in restaurant trading in June just got worse in July.	Pad od 1,8 posto u poslovanju restorana u lipnju samo se pogoršao u srpnju.
dailymail.co.uk.298644	st15	Drink-led pubs and bars performed by far the strongest with like-for-likes up more than restaurants were down.	Pubovi i kafići koji uglavnom prodaju pića poslovali su daleko najbolje te su bilježili rast veći od pada restorana.
dailymail.co.uk.298644	st15	Food-led pubs also suffered in the sun, although not as dramatically as the restaurant operators.	Pubovi koji uglavnom prodaju hranu također su bilježili pad u poslovanju zbog sunca, iako ne tako drastičan kao kod restorana.
dailymail.co.uk.298644	st15	It seems people just wanted to go out for a drink.	Čini se da ljudi samo žele izaći i popiti piće.
dailymail.co.uk.298644	st15	Across managed pubs and bars drink sales were up 6.6 per cent for the month, with food down three per cent."	Kod lanaca pubova i kafića prodaja pića narasla je za 6,6 posto za taj mjesec, a prodaja hrane pala je za tri posto.
dailymail.co.uk.298644	st15	Paul Newman, of leisure and hospitality analysts RSM said: "These results continue the trend we've seen since the end of April.	Paul Newman iz tvrtke za analizu slobodnog vremena i ugostiteljstva rekao je: „Ovi podaci potvrđuju trend koji je prisutan od kraja travnja.
dailymail.co.uk.298644	st15	Weather and the impact of major social or sporting events remain the biggest factors when it comes to sales in the out-of-home market.	Vremenski uvjeti i utjecaj velikih društvenih i sportskih događaja i dalje su jedni od najvećih čimbenika kada je u pitanju prodaja na tržištu izlazaka.
dailymail.co.uk.298644	st15	It comes as no surprise that restaurant groups continue to struggle, albeit a sales drop of 4.8 per cent year-on-year will be particularly painful on top of ongoing cost pressures.	Nije iznenađujuće što lanci restorana i dalje slabije posluju, premda će pad u prodaji od 4,8 posto svake godine biti posebno težak povrh kontinuiranog pritiska troškova.
dailymail.co.uk.298644	st15	The long hot summer could not have come at a worse time for food-led operators and time will tell whether the more moderate temperatures we've experienced in August will provide some much-needed respite."	Dugo toplo ljeto nije moglo doći u gore vrijeme za voditelje lokala koji prodaju hranu i vrijeme će pokazati hoće li blaže temperature koje smo doživjeli u kolovozu pružiti prijeko potreban predah.“
dailymail.co.uk.298644	st15	Total sales growth across pub and restaurants, including new openings, was 2.7 per cent in July, reflecting the slow down in brand roll-outs.	Ukupan rast prodaje kod pubova i restorana, uključujući one novootvorene, iznosio je 2,7 posto u srpnju, sukladno usporavanju otvaranja novih lanaca.
dailymail.co.uk.298644	st15	The Coffer Peach Tracker industry sales monitor for the UK pub, bar and restaurant sector collects and analyses performance data from 47 operating groups, with a combined turnover of over £9 billion, and is the established industry benchmark.	Coffer Peach sustav praćenja prodaje u industriji za sektor pubova, kafića i restorana u UK-u prikuplja i analizira podatke o uspješnosti od 47 aktivnih lanaca, sa zajedničkim prometom od 9 milijardi funti te je utemeljen kao mjerilo u toj industriji.
en.ndtv.com.13004	st16	PM Modi Tweets Tribute To Jacques Chirac, Calls Him True Global Statesman, Friend Of India	﻿Premijer Modi na Twitteru odao počast Jacquesu Chiracu, nazvao ga istinskim svjetskim političkim vođom, prijateljem Indije
en.ndtv.com.13004	st16	Prime Minister Narendra Modi condoled the death of former French president Jacques Chirac, saying India mourns the loss of a true global statesman and friend.	Premijer Narendra Modi sažalijevao je smrt bivšeg francuskog predsjednika Jacquesa Chiraca,  govoreći kako Indija tuguje zbog gubitka istinskog svjetskog političkog vođe i prijatelja.
en.ndtv.com.13004	st16	Jacques Chirac, who supported India after it conducted nuclear tests in 1998, died on Thursday at age 86. He served as the president of France from 1995 to 2007.	Jacques Chirac, koji je podržavao Indiju nakon što je provela nuklearne pokuse 1998., umro je u četvrtak u 86. godini života. Bio je predsjednik Francuske od 1995. do 2007.
en.ndtv.com.13004	st16	"My deepest condolences on passing away of Jacques Chirac. India mourns the loss of a true global statesman. A friend of India, he played a decisive role in establishing and building India-France Strategic Partnership," Prime Minister Modi tweeted.	„Moja najiskrenija sućut zbog smrti Jacquesa Chiraca. Indija tuguje zbog gubitka istinskog svjetskog političkog vođe. Kao prijatelj Indije, imao je ključnu ulogu u osnivanju i stvaranju strateškog partnerstva između Indije i Francuske“, premijer Modi objavio je na Twitteru.
en.ndtv.com.13004	st16	India and France have a strategic partnership, initiated in January 1998 during Jacques Chirac's first visit to India. He again visited the country as president in 2006.	Indija i Francuska imaju strateško partnerstvo, pokrenuto u siječnju 1998. tijekom prvog posjeta Jacquesa Chiraca Indiji. Ponovno je posjetio Indiju kao predsjednik 2006. 
en.ndtv.com.13004	st16	Jacques Chirac was known to have been suffering from ill health for a long time.	Za Jacquesa Chiraca se znalo da je bio lošeg zdravlja duže vrijeme.
euronews-en.153797	st17	Indonesia earthquake tsunami: hundreds killed	Tsunami izazvan potresom u Indoneziji: stotine mrtvih
euronews-en.153797	st17	At least 384 people have died after an earthquake hit the Indonesian island of Sulawesi on Friday.	Najmanje 384 ljudi poginulo je nakon što je potres pogodio indonezijski otok Sulawesi u petak.
euronews-en.153797	st17	The 7.5-magnitude earthquake triggered a tsunami and has destroyed thousands of homes.	Potres jačine 7,5 izazvao je tsunami koji je uništio tisuće domova.
euronews-en.153797	st17	Electricity and communication networks are down with death tolls expected to rise in coming days.	Elektroenergetske i komunikacijske mreže nisu u funkciji, a očekuje se da će se u narednim danima broj smrtnih slučajeva povećati.
euronews-en.153797	st17	The earthquake hit just off central Sulawesi which is northeast of the Indonesian capital, Jakarta.	Epicentar potresa bio je u središnjem Sulawesiju, sjeveroistočno od indonezijskog glavnog grada Jakarte.
euronews-en.153797	st17	Videos are circulating on social media showing the moment of impact.	Društvenim mrežama kruže videozapisi trenutka udara potresa.
euronews-en.153797	st17	Hundreds of people had gathered for a beach festival in the city of Palu when the tsunami smashed on shore.	Stotine ljudi bilo je okupljeno na festivalu na plaži u gradu Paluu kad je tsunami udario u obalu.
euronews-en.153799	st18	Syria 'ready' for refugees to return, says Foreign Minister	﻿Sirija „spremna“ za povratak izbjeglica, tvrdi Ministar vanjskih poslova
euronews-en.153799	st18	Syria says it's ready for the voluntary return of refugees and is appealing for help to rebuild the country devastated by a more than seven-year long war.	Sirija je navodno spremna za dobrovoljni povratak izbjeglica, stoga se apelira na obnovu zemlje koja je zadnjih sedam godina devastirana ratom.
euronews-en.153799	st18	Speaking to the United Nations General Assembly, Foreign minister Walid al-Moualem said conditions in the country are improving.	U razgovoru s Općom skupštinom Ujedinjenih naroda sirijski Ministar vanjskih poslova rekao je da se okolnosti u zemlji poboljšavaju. 
euronews-en.153799	st18	"Today the situation on the ground is more stable and secure thanks to progress made in combating terrorism," he said.	„Danas je situacija stabilnija i sigurnija zahvaljujući ostvarenom napretku u borbi protiv terorizma“, izjavio je ministar.
euronews-en.153799	st18	The government continues to rehabilitate the areas destroyed by terrorists to restore normalcy.	Vlada nastavlja obnovu područja koja su napali teroristi kako bi se situaciju vratila čim bliže normali.
euronews-en.153799	st18	All conditions are now present for the voluntary return of refugees to the country they had to leave because of terrorism and the unilateral economic measures that targeted their daily lives and their livelihoods.	Okolnosti su sad pogodne za dobrovoljni povratak izbjeglica u zemlju koju su bili prisiljeni napustiti uslijed terorističkih napada i jednostranih gospodarskih mjera koje su pogodile njihove živote i izvore zarade.
euronews-en.153799	st18	The UN estimates that more than 5.5 million Syrians have fled the country since the war began in 2011.	UN procjenjuje da je Siriju napustilo više od 5,5 milijuna Sirijaca od 2011. godine kad je rat počeo.
euronews-en.153799	st18	Another six million people still living in the country are in need of humanitarian assistance.	Preostalih šest milijuna ljudi koji još uvek žive u zemlji treba humanitarnu pomoć.
euronews-en.153799	st18	Al-Moualem said the Syrian regime would welcome help in rebuilding the devastated country.	Al-Moulaem rekao je da bi  sukladno sirijskom režimu svaka pomoć pomoć za obnovu devastirane zemlje bila dobrodošla.
euronews-en.153799	st18	But he stressed that it would not accept conditional assistance or help from countries that sponsored the insurgency.	No naglasio je i da se neće prihvatiti uvjetovana pomoć od zemalja koje su podržale pobunu.
euronews-en.153800	st19	Erdogan get mixed reception in Cologne	Oprečne reakcije na Erdogana u K ö lnu 
euronews-en.153800	st19	There were smiles and blue skies on Saturday (September 29) as the leaders of Turkey and Germany met for breakast in Berlin.	U subotu (29. rujna) za vrijeme radnog doručka na kojem su se u Berlinu susreli lideri Njemačke i Turske bilo je osmijeha i plavog neba. 
euronews-en.153800	st19	It's the last day of President Erdogan's controversial visit to Germany - which is aimed at repairing relations beteen the NATO allies.	Bio je to posljednji dan kontroverznog Erdoganova posjeta Njemačkoj u svrhu popravljanja odnosa između dvaju NATO saveznika. 
euronews-en.153800	st19	They've fallen out over issues including human rights, press freedom and Turkey's accession to the EU.	Dvije su se zemlje u prošlosti sporile oko problema kao što su ljudska prava, sloboda medija i ulazak Turske u EU. 
euronews-en.153800	st19	Erdogan then headed for Cologne to open a giant new mosque.	Erdogan je poslije doručka otišao u K öln , gdje je otvorio divovsku novu džamiju. 
euronews-en.153800	st19	The city is home to the largest Turkish population outside Turkey.	U tome gradu živi najveći broj Turaka izvan Turske. 
euronews-en.153800	st19	Police cited security reasons to block a 25,000-strong crowd from gathering in front of the mosque, but plenty of supporters turned out nearby to see their president.	Policija je iz sigurnosnih razloga spriječila okupljanje gomile od 25 000 ljudi ispred džamije, no mnogi su Erdoganovi pristaše došli vidjeti svog predsjednika. 
euronews-en.153800	st19	Hundreds of anti-Erdogan protesters - many of them Kurdish - also made their voices heard, condemning both Erdogan's policies and the German government's decision to welcome him to the country.	Stotine prosvjednika protiv Erdogana , od kojih su mnogi bili Kurdi, također su izrazili svoje stavove tako što su osudili Erdoganovu politiku te odluku njemačke vlade da mu poželi dobrodošlicu u Njemačku. 
euronews-en.153800	st19	The dueling protests reflect the divisiveness of a visitor hailed as a hero by some German Turks and reviled as an autocrat by others.	Dva oprečna prosvjeda pokazuju da gost, kojeg neki njemački Turci slave kao heroja, a drugi preziru kao autokrata, izaziva brojne kontroverze. 
euronews-en.153835	st20	Death toll from Indonesia tsunami rises to 832	Broj mrtvih zbog tsunamija u Indoneziji popeo se na 832.
euronews-en.153835	st20	The death toll in Indonesia's earthquake and tsunami has climbed to 832, the country's disaster agency said early Sunday.	Broj mrtvih uslijed potresa i tsunamija u Indoneziji popeo se na 832, izjavila je državna agencija za katastrofe u nedjelju ujutro.
euronews-en.153835	st20	Many people were reported trapped in the rubble of buildings brought down in the 7.5 magnitude earthquake which struck Friday and triggered waves as high as 20 feet, agency spokesman Sutopo Purwo Nugroho told a news conference.	Mnogi su ostali zatočeni ispod ruševina zgrada srušenih tijekom potresa magnitude 7.5 koji je udario u petak i izazvao valove visine do šest metara, glasnogovornik agencije Purwo Nugroho rekao je na konferenciji za novinare.
euronews-en.153835	st20	The city of Palu, which has more than 380,000 people, was strewn with debris from collapsed buildings.	Grad Palu, u kojemu živi više od 380 000 stanovnika, prekriven je ruševinama zgrada.
foxnews.100074	st01	Pompeo accuses Syria of using chemical weapons in May attack	Pompeo optužio Siriju za uporabu kemijskog oružja u napadu u svibnju
foxnews.100074	st01	Secretary of State Mike Pompeo, speaking on the sidelines of the U.N. General Assembly on Thursday, said the United States has concluded the Syrian government used chemical weapons in an attack earlier this year.	Državni tajnik Mike Pompeo rekao je u svom govoru na nezavisnom sastanku svjetskih čelnika Opće skupštine UN-a da je SAD u svojoj istrazi zaključio da je sirijska vlada koristila kemijsko oružje u napadu ranije ove godine.
foxnews.100074	st01	Pompeo said U.S. officials had determined Syrian President Bashar Assad's government had used chlorine in the attack on opposition forces in Idlib province on May 19.	Pompeo je rekao da su američki službenici utvrdili da je vlada sirijskog predsjednika Bashara Assada koristila kloh u napadima na opozicijske snage u pokrajini Idlib 19. svibnja.
foxnews.100074	st01	"The Assad regime is responsible for innumerable atrocities some of which rise to the level of war crimes and crimes against humanity," Pompeo told a news conference.	"Assadov režim odgovoran je za nebrojne zločine, neki od kojih su na razini ratnih zločina i zločina protiv čovječnosti", rekao je Pompeo na konferenciji za novinare.
foxnews.100074	st01	U.S. officials in May said they'd received reports consistent with a chemical attack in northwest Syria but did not offer a definitive conclusion at the time.	Američki službenici rekli su u svibnju da su zaprimili izvještaje koji odgovaraju kemijskom napadu na sjeverozapadu Sirije, ali tada nisu došli do konačnog zaključka.
foxnews.100074	st01	In April 2018, the U.S., Britain and France launched airstrikes in Syria in retaliation for what they described as a suspected chemical attack that killed more than 40 people earlier that month.	U travnju 2018. SAD, Britanija i Francuska naredile su zračne napade u Siriji kao odmazdu za navodne kemijske napade koji su ubili više od 40 ljudi ranije tog mjeseca.
foxnews.100074	st01	"This is different in some sense because it was chlorine... but know that President Trump has been pretty vigorous in protecting the world from the use of chemical weapons," Pompeo said.	"Ovo je na neki način drugačije jer je riječ o kloru... no budite svjesni da je predsjednik Trump ustrajan u zaštiti svijeta od uporabe kemijskog oružja", rekao je Pompeo.
foxnews.100074	st01	He added that the U.S. would provide an additional $4.5 million to the Organization for the Prohibition of Chemical Weapons to fund investigations into other instances of suspected Syrian chemical-weapons use.	Nadodao je da će SAD dati dodatnih 4,5 milijuna dolara Organizaciji za zabranu kemijskog oružja kako bi financirali istrage drugih slučajeva moguće uporabe sirijskog kemijskog oružja.
foxnews.100074	st01	Pompeo also called on the Assad government to release thousands of unjustly detained prisoners, including American journalist Austin Tice, who has been missing and presumed held by the government for seven years.	Pompeo je također pozvao Assadovu vladu da oslobodi tisuće nepravedno zatočenih zatvorenika, uključujući i američkog novinara Austina Ticea, koji je proglašen nestalim prije sedam godina i za kojeg se vjeruje da ga je zatočila Assadova vlada.
foxnews.100074	st01	"He is just one of a number of American citizens held in Syria and we call upon the Syrian regime to release them all."	"On je samo jedan od brojnih američkih državljana koji su zatočeni u Siriji i pozivamo sirijsku vladu da ih sve oslobodi".
gateway-zh.135	st02	Matt de Grood shouldn't be punished because of schizophrenia stigma	Matt de Grood ne bi trebao biti kažnjen zbog stigmatizacije shizofrenije
gateway-zh.135	st02	In 2016, Matthew de Grood, the man who killed five people at a house party in Calgary, was found to be not criminally responsible for his actions.	2016. godine je Matthew de Grood, čovjek koji je ubio petero ljudi na kućnoj zabavi u Calgaryju, proglašen nevinim i da nije kazneno odgovoran za svoje postupke.
