abcnews.306755	st8	Warren plans to take a 'hard look' at running for president	Элизабет Уоррен планирует рассмотреть свою кандидатуру на пост президента
cnn.304447	st20	"All of what we've done is at stake in November.	«В ноябре на карту поставлено все, что мы сделали.
cnn.304447	st20	Five weeks away from one of the most important elections in our lifetimes.	Пять недель до одного из самых важных выборов в нашей жизни.
cnn.304447	st20	This is one of the big, big -- I'm not running but I'm really running that's why I'm all over the place fighting for great candidates," he said.	Это один из самых больших, больших - я не баллотируюсь, но я действительно бегу, поэтому я повсюду борюсь за отличных кандидатов », - сказал он.
cnn.304447	st20	Trump continued, "You see this horrible, horrible radical group of Democrats, you see it happening right now.	Трамп продолжил: «Вы видите эту ужасную, ужасную радикальную группу демократов, вы видите, что это происходит прямо сейчас.
cnn.304447	st20	And they're determined to take back power by using any means necessary, you see the meanness, the nastiness.	И они полны решимости вернуть власть любыми необходимыми средствами, вы видите подлость и мерзость.
cnn.304447	st20	They don't care who they hurt, who they have to run over in order to get power and control, that's what they want is power and control, we're not going to give it to them."	Им все равно, кого они обидят, кого они должны переехать, чтобы получить власть и контроль, они хотят власти и контроля, мы не собираемся отдавать их им ».
cnn.304447	st20	Democrats, he said, are on a mission to "resist and obstruct."	По его словам, демократы призваны «мешать и сопротивляться».
cnn.304447	st20	"And you see that over the last four days," he said, calling the Democrats "angry and mean and nasty and untruthful."	«И вы видите это за последние четыре дня», - сказал он, назвав демократов «злыми, подлыми, мерзкими и неправдивыми».
cnn.304447	st20	He referenced Senate Judiciary Committee ranking Democratic Sen. Dianne Feinstein by name, which received loud boos from the audience.	Он сослался на судебный комитет Сената, который назвал сенатора-демократа Дайанн Файнштейн по имени, что вызвало громкие возгласы аудитории.
cnn.304447	st20	"Remember her answer?	"Помнишь ее ответ?
cnn.304447	st20	Did you leak the document?	Вы обнародовали документ для всей общественности?
cnn.304447	st20	Uh, uh, what.	Эээ, что.
cnn.304447	st20	No, uh no, I wait one - that was really bad body language - the worst body language I've ever seen."	Нет, нет, я жду одного - это был действительно плохой язык тела - худший язык тела, который я когда-либо видел».
cnn.304478	st20	Sarah Palin cites Track Palin's PTSD at Donald Trump rally	Сара Пэйлин цитирует посттравматическое стрессовое расстройство Трека Пэйлин на митинге Дональда Трампа
cnn.304478	st20	Track Palin, 26, spent a year in Iraq after enlisting on Sept.	26-летняя Трек Пэйлин провела год в Ираке после зачисления в армию 7 сентября.
cnn.304478	st20	He was arrested and charged in a domestic violence incident on Monday night	Он был арестован и обвинен в домашнем насилии в понедельник вечером.
cnn.304478	st20	"What my own son is going through, what he is going through coming back, I can relate to other families who feel ramifications of PTSD and some of the woundedness that our soldiers do return with," she told the audience at a rally for Donald Trump in Tulsa, Oklahoma.	«Что переживает мой собственный сын, что он переживает, возвращаясь, я могу рассказать о других семьях, которые чувствуют последствия посттравматического стрессового расстройства и некоторые ранения, с которыми действительно возвращаются наши солдаты», - сказала она аудитории на митинге в поддержку Дональда. Трамп в Талсе, штат Оклахома.
cnn.304478	st20	Palin called his arrest "the elephant in the room" and said of her son and other war veterans, "they come back a bit different, they come back hardened, they come back wondering if there is that respect for what it is that their fellow soldiers and airmen, and every other member of the military, has given to the country."	Пэйлин назвала его арест «слоном в комнате» и сказала о своем сыне и других ветеранах войны: «Они возвращаются немного другими, они возвращаются ожесточенными, они возвращаются, задаваясь вопросом, есть ли у них уважение к тому, что их товарищи солдаты и летчики, а также любой другой военнослужащий отдал стране».
cnn.304478	st20	He was arrested on Monday in Wasilla, Alaska, and charged with domestic violence assault on a female, interfering with a report of domestic violence and possession of a weapon while intoxicated, according to Dan Bennett, a spokesman for the Wasilla Police Department.	Он был арестован в понедельник в Василле, штат Аляска, и обвинен в нападении на женщину с домашним насилием, вмешательстве в сообщение о домашнем насилии и хранении оружия в состоянии алкогольного опьянения, по словам Дэна Беннета, представителя полицейского управления Василлы.
cnn.304489	st20	Trump says Kavanaugh 'suffered, the meanness, the anger' of the Democratic Party	Трамп говорит, что Кавано «страдал от подлости, гнева» Демократической партии
cnn.304489	st20	"A vote for Judge Kavanaugh is a vote to reject the ruthless and outrageous tactics of the Democratic Party," Trump said at a rally in Wheeling, West Virginia.	«Голосование за судью Кавано - это голосование против безжалостной и возмутительной тактики Демократической партии», - сказал Трамп на митинге в Уилинге, Западная Вирджиния.
cnn.304489	st20	Trump said that Kavanaugh has "suffered the meanness, the anger" of the Democratic Party throughout his nomination process.	Трамп сказал, что Кавано «страдал от подлости и гнева» Демократической партии на протяжении всего процесса своего выдвижения.
cnn.304489	st20	Kavanaugh testified before Congress on Thursday, forcefully and emotionally denying an allegation from Christine Blasey Ford that he sexually assaulted her decades ago when they were teenagers.	Кавано дал показания перед Конгрессом в четверг, решительно и эмоционально опровергнув утверждение Кристин Блейси Форд о том, что он изнасиловал ее несколько десятилетий назад, когда они были подростками.
cnn.304489	st20	Ford also testified at the hearing about her allegation.	Форд также дал показания на слушании по поводу ее обвинений.
cnn.304489	st20	The President said on Saturday that the "American people saw the brilliant and quality and courage" of Kavanaugh that day.	В субботу президент заявил, что в тот день «американский народ увидел блестящие качества и мужество» Кавано.
cnn.304489	st20	"A vote to confirm Judge Kavanaugh is a vote to confirm one of the most accomplished legal minds of our time, a jurist with a sterling record of public service," he told the crowd of West Virginia supporters.	«Голосование за утверждение судьи Кавано - это голосование за утверждение одного из самых опытных юристов нашего времени, юриста с безупречным послужным списком», - сказал он толпе сторонников Западной Вирджинии.
cnn.304489	st20	The President obliquely referred to Kavanaugh's nomination while talking about the importance of Republican turnout in the midterm elections.	Президент косвенно упомянул о выдвижении Кавано, говоря о важности явки республиканцев на промежуточных выборах.
cnn.304489	st20	"Five weeks away from one of the most important elections in our lifetimes.	"Пять недель до одного из самых важных выборов в нашей жизни.
cnn.304489	st20	I'm not running, but I'm really running," he said.	Я не бегаю, но я действительно бегаю », - сказал он.
cnn.304489	st20	"That's why I'm all over the place fighting for great candidates."	«Вот почему я повсюду борюсь за отличных кандидатов».
cnn.304489	st20	Trump argued that Democrats are on a mission to "resist and obstruct."	Трамп утверждал, что миссия демократов - «сопротивляться и препятствовать».
cnn.304489	st20	The first key procedural vote on the Senate floor on Kavanaugh's nomination is expected to take place no later than Friday, a senior GOP leadership aide has told CNN.	Ожидается, что первое ключевое процедурное голосование в сенате по кандидатуре Кавано состоится не позднее пятницы, сообщил CNN высокопоставленный помощник руководства Республиканской партии.
cnn.385761	st20	Nestle tightens controls on coffee beans after weedkiller scare	Nestle усиливает контроль над кофейными зернами после использования средства от сорняков
cnn.385761	st20	The world's largest coffee company said in a statement Friday that it had found glyphosate residues close to the maximum allowed in some deliveries of green coffee beans.	Крупнейшая в мире кофейная компания заявила в пятницу, что обнаружила остатки глифосата, близкие к максимально допустимым в некоторых поставках зеленых кофейных зерен.
cnn.385761	st20	Glyphosate is the key ingredient in Monsanto's weedkiller, Roundup. In the United States, juries have awarded huge monetary damages to people who say their cancer was caused by exposure to glyphosate. Bayer, which owns Monsanto, says the herbicide is safe when used properly, as does the US Environmental Protection Agency.	Глифосат - ключевой ингредиент средства против сорняков от Monsanto, Roundup. В Соединенных Штатах присяжные присудили огромную денежную компенсацию людям, которые утверждали, что их рак был вызван воздействием глифосата. Компания Bayer, которой принадлежит Monsanto, говорит, что гербицид безопасен при правильном использовании, как и Агентство по охране окружающей среды США.
cnn.385761	st20	Neumann Kaffee Gruppe (NKG), one of the world's largest traders, said glyphosate was one of a number of substances it monitored on the coffee it buys. Nestle buys some of its coffee beans from NKG. It was too early to say what consequences Nestle's tighter controls would have on NKG, a spokesperson said.	Neumann Kaffee Gruppe (NKG), один из крупнейших в мире трейдеров, заявил, что глифосат был одним из ряда веществ, которые компания отслеживала при покупке кофе. Nestle покупает часть кофейных зерен у NKG. По словам представителя компании, пока рано говорить о последствиях ужесточения контроля Nestle для NKG.
cnn.385761	st20	Nestle's (NSRGF) decision to increase the frequency of checks was unlikely to disrupt global coffee supply chains, a spokesperson said. "This is not a new process, we are just reinforcing controls," the spokesperson told CNN Business. Tests were done before the coffee was shipped from the countries of origin.	По словам представителя компании, решение Nestle (NSRGF) увеличить частоту проверок вряд ли нарушит глобальные цепочки поставок кофе. «Это не новый процесс, мы просто усиливаем контроль», - сказал представитель CNN Business. Тесты проводились перед отправкой кофе из стран происхождения.
cnn.385761	st20	Nestle would start with suppliers in Indonesia and Brazil, since these countries are among the world's biggest coffee producers.	Nestle начиная с поставщиков в Индонезии и Бразилии, поскольку эти страны являются одними из крупнейших производителей кофе в мире.
cnn.385761	st20	"Our agronomists will continue to work with coffee farmers to help them improve their weed management practices, including the appropriate use of herbicides and adoption of other weeding methods," the Swiss company said.	«Наши агрономы будут продолжать работать с фермерами, выращивающими кофе, чтобы помочь им улучшить свои методы борьбы с сорняками, включая надлежащее использование гербицидов и внедрение других методов прополки», - заявила швейцарская компания.
cnn.385761	st20	Brands such as Nescafe and Nespresso make up a sizable chunk of Nestle's powdered and liquid beverages business, which generated sales of 21.6 billion Swiss francs ($21.7 billion) in 2018. Nestle last year agreed a deal to sell Starbucks' packaged coffees and teas around the world.	Такие бренды, как Nescafe и Nespresso, составляют значительную часть бизнеса Nestle по производству порошковых и жидких напитков, объем продаж которого в 2018 году составил 21,6 миллиарда швейцарских франков (21,7 миллиарда долларов). В прошлом году Nestle заключила сделку по продаже фасованного кофе и чая Starbucks в Мир.
cnn.385761	st20	Does glyphosate cause cancer?	Является ли глифосат одной из причин возникновения рак?
cnn.385761	st20	Glyphosate is used on more than 100 food crops, according to the EPA. Scientists at an environmental advocacy group with links to the organic food industry say several popular breakfast cereals contain doses of the chemical that are higher than they consider safe for children.	По данным EPA, глифосат используется более чем в 100 пищевых культурах. Ученые из группы по защите окружающей среды, связанной с производством экологически чистых продуктов питания, говорят, что несколько популярных сухих завтраков содержат дозы химического вещества, превышающие те, которые они считают безопасными для детей.
cnn.385761	st20	Still, the EPA says glyphosate is not a carcinogen and that it poses no public health risks. Ecological risks include damage to pollinators and the problem of weed resistance, the EPA said in a statement in April.	Тем не менее, EPA заявляет, что глифосат не является канцерогеном и не представляет опасности для здоровья населения. Экологические риски включают повреждение опылителей и проблему устойчивости сорняков, говорится в заявлении EPA в апреле.
cnn.385761	st20	But that has not stopped thousands of people from filing lawsuits against Monsanto alleging that exposure to Roundup caused them or their loved ones to develop cancer.	Но это не помешало тысячам людей подать иски против Monsanto, утверждая, что воздействие Roundup привело к развитию рака у них или их близких.
cnn.385761	st20	Earlier this year, a jury ordered Bayer to pay a California couple $2 billion in damages after they claimed that Roundup, used on their property for more than three decades, had given them both Non-Hodgkin lymphoma within four years of one other. Bayer is contesting the verdict.	Ранее в этом году суд присяжных обязало Bayer выплатить калифорнийской паре 2 миллиарда долларов в качестве компенсации за ущерб после того, как они заявили, что Roundup, использовавшийся на их собственности более трех десятилетий, вызвал у них обоих неходжкинскую лимфому в течение четырех лет. Байер оспаривает приговор.
cnn.385761	st20	A 2015 study by the World Health Organization's International Agency for Research on Cancer found that glyphosate was "probably carcinogenic to humans," based on "limited" evidence of cancer in humans and "sufficient" evidence of cancer in experimental animals. However, a joint panel of the WHO and the United Nations Food and Agriculture Organization later concluded that glyphosate is unlikely to pose a carcinogenic risk to humans from exposure through diet.	Исследование, проведенное в 2015 году Международным агентством по изучению рака Всемирной организации здравоохранения, показало, что глифосат «вероятно канцерогенен для человека», основываясь на «ограниченных» доказательствах рака у людей и «достаточных» доказательствах рака у экспериментальных животных. Однако совместная группа ВОЗ и Продовольственной и сельскохозяйственной организации Объединенных Наций позже пришла к выводу, что глифосат вряд ли представляет канцерогенный риск для людей в результате воздействия через пищу.
cnn.385803	st10	Pet owners who fail to walk their dogs face $2,700 fine	Владельцам домашних животных, не выгуливающим своих собак, грозит штраф в размере 2700 долларов.
cnn.385803	st10	Owners can face heavy on-the-spot fines if they fail to provide basics like shelter, food and water. People who confine dogs for 24 hours must also allow them to move freely for the next two hours or face prosecution.	Отныне на владельцев домашних животных будет налагаться серьезный штраф, если они не в состоянии предоставить питомцу приют, еду и воду. Люди, держащие собак в помещении 24 часа, обязаны позволить им свободно передвигаться в течении двух часов, иначе им грозит судебное разбирательство.
cnn.385803	st10	The territory is the first jurisdiction in Australia to recognize animal sentience.	Австралийская столичная территория (АСТ) стала первой юрисдикцией Австралии, признавшей разумность животных.
cnn.385803	st10	"Modern animal welfare is about considering how an animal is coping both mentally and physically with the conditions in which it lives," ACT City Service Minister Chris Steel, who secured the bill, said in a media release.	"В настоящее время показателем благополучия животных является то, как оно психологически и физически справляется с условиями, в которых живет," - заявил министр общественных служб АСТ Крис Стил.
dailymail.co.uk.298602	st10	One in five children have secret social media accounts that they hide from their parents	У каждого пятого ребенка есть секретный аккаунт в соцсетях
dailymail.co.uk.298602	st10	One in five children - some as young as 11 - have secret social media accounts that they hide from their parents and teachers, survey reveals	По результатам опроса, у каждого пятого ребенка от 11 до 18 лет есть секретный аккаунт в соцсетях, который они скрывают от родителей и учителей.
dailymail.co.uk.298602	st10	Survey of 20,000 secondary school pupils revealed growth in "fake Insta" pages	Опрос 20000 учеников средних школ выявил увеличение количества "фейковых" страниц в Instagram.
dailymail.co.uk.298602	st10	The news has heightened fears that sexual content is being posted	В связи с этим родители выразили обеспокоенность тем, что дети публикуют там контент сексуального характера.
dailymail.co.uk.298602	st10	Twenty per cent of pupils said they have a "main" account to show parents	20% школьников заявили, что у них, помимо "основного" аккаунта, который можно показывать родителям, есть личные аккаунты.
dailymail.co.uk.298602	st10	One in five children - some as young as 11 - are creating social media accounts that they keep secret from adults.	По результатам опроса, у каждого пятого ребенка от 11 до 18 лет есть секретный аккаунт в соцсетях, который они скрывают от родителей и учителей.
dailymail.co.uk.298602	st10	A survey of 20,000 secondary school pupils revealed a rapid growth in "fake Insta" accounts - a reference to photo-sharing site Instagram.	Опрос 20000 учеников средних школ выявил увеличение количества "фейковых" страниц в Instagram.
dailymail.co.uk.298602	st10	The news has heightened fears that sexual content is being posted.	В связи с этим родители выразили обеспокоенность тем, что дети публикуют там контент сексуального характера.
dailymail.co.uk.298602	st10	Twenty per cent of pupils said they operate a sanitised "main" account to show parents, while also having private ones.	20% школьников заявили, что у них, помимо "основного" аккаунта, который можно показывать родителям, есть личные аккаунты.
dailymail.co.uk.298602	st10	One mother who stumbled across her 13-year-old's daughter's secret site found a teenager urging others to "rape me."	Одна женщина, наткнувшаяся на секретный сайт 13-летней дочери, нашла подростка, просившего "изнасиловать" его.
dailymail.co.uk.298602	st10	The research, by Digital Awareness UK and the Headmasters" and Headmistresses" Conference (HMC) of independent schools, found 40 per cent of 11 to 18-year-olds had two profiles, with half of those admitting to keeping private accounts.	По данным исследования, проведенного агенством Digital Awarness UK и Конференцией директоров частных школ (HMC), 40% школьников от 11 до 18 лет имеют две учетные записи в соцсетях, причем половина из них признает, что имеет личный аккаунт.
dailymail.co.uk.298602	st10	HMC chief Mike Buchanan said: "It's disturbing so many teenagers are tempted into creating online spaces where parents and teachers cannot find them."	"Тот факт, что так много подростков создают онлайн-пространства, где родители и учителя не смогут их найти, вызывает беспокойство," - заявил глава HMC Майк Бьюкэнэн.
dailymail.co.uk.298630	st10	New cancer vaccine can teach the immune system to 'see' rogue cells	Новая вакцина от рака может научить имунную систему "видеть" раковые клетки
dailymail.co.uk.298630	st10	New cancer vaccine can teach the immune system to 'see' rogue cells and kill them	Новая вакцина от рака может научить имунную систему "видеть" раковые клетки и убивать их
dailymail.co.uk.298630	st10	Vaccine teaches immune system to recognise rogue cells as part of treatment	В рамках программы лечения вакцина учит имунную систему распознавать раковые клетки.
dailymail.co.uk.298630	st10	Method involves extracting immune cells from a patient, altering them in lab	Данный метод включает извлечение имунных клеток пациента и их изменение в лаборатории. 
dailymail.co.uk.298630	st10	They can then 'see' a protein common to many cancers and then reinjected	Ученые могут "увидеть" белок, стимулирующий рост некоторых видов раковых клеток, и извлечь его.
dailymail.co.uk.298630	st10	A trial vaccine is showing promising results in patients with a range of cancers.	Экспериментальная вакцина демонстрирует многообещающие результаты у пациентов с различными видами рака.
dailymail.co.uk.298630	st10	One woman treated with the vaccine, which teaches the immune system to recognise rogue cells, saw her ovarian cancer disappear for more than 18 months.	У одной пациентки, получившей вакцину, отмечено исчезновение рака яичников более чем на 18 месяцев. 
dailymail.co.uk.298630	st10	The method involves extracting immune cells from a patient, altering them in the laboratory so they can "see" a protein common to many cancers called HER2, and then reinjecting the cells.	Метод включает извлечение имунных клеток пациента, их изменение в лаборатории, чтобы они могли распознать белок HER2, который влияет на рост раковых клеток, и повторное введение клеток пациенту.
dailymail.co.uk.298630	st10	Professor Jay Berzofsky, of the US National Cancer Institute in Bethesda, Maryland, said: "Our results suggest that we have a very promising vaccine."	По словам Джея Безофски, профессора Национального института онкологии США, "вакцина продемонстрировала многообещающие результаты."
dailymail.co.uk.298630	st10	HER2 "drives the growth of several types of cancer," including breast, ovarian, lung and colorectal cancers, Prof Berzofsky explained.	HER2 "стимулирует развитие некоторых видов рака", включая рак груди, яичников, легких, а также колоректальный рак, объясняет профессор Безофски.
dailymail.co.uk.298630	st10	A similar approach of taking immune cells out of patients and "teaching" them how to target cancer cells has worked in treating a type of leukaemia.	Подобный подход, суть которого заключается в лечении рака с помощью имунных клеток пациента, сработал и при лечении определенного типа лейкемии.
dailymail.co.uk.298644	st10	Perfect time for a pint is 5.30pm on a Saturday, survey finds	По результатам опроса, идеальное время для пинты пива - суббота 17:30.
dailymail.co.uk.298644	st10	The summer heatwave has boosted takings for Britain's struggling pubs but heaped more pressure on restaurant chains.	Летняя жара привела к увеличению выручки британских пабов, испытывавших материальные трудности, но оказала большое давление на сети ресторанов.
dailymail.co.uk.298644	st10	Pub and bar groups saw sales rise 2.7 per cent in July - but takings in restaurants were down 4.8 per cent, figures revealed.	По статистике, продажи в пабах и барах в июле выросли на 2,7%, в то время как в ресторанах выручка снизилась на 4,8%.
dailymail.co.uk.298644	st10	Peter Martin, of business consultancy CGA, which compiled the figures, said: "Continued sunshine and England's longer than expected participation in the World Cup meant July followed a similar pattern to the previous month of June, when pubs were up 2.8 per cent, except that restaurants were hit even harder.	По словам представителя бизнес-консалтинговой компании CGA Питера Мартина, "теплая погода и более длительное, чем ожидалось, участие Англии в чемпионате мира означает, что в июле будет прослеживаться та же динамика, что и в предыдущем месяце, когда продажи пабов выросли на 2,8%, а выручка ресторанов упала.
dailymail.co.uk.298644	st10	The fall of 1.8 per cent in restaurant trading in June just got worse in July.	В июле объемы ресторанной торговли, ранее снизившиеся на 1,8%, упали еще больше.
dailymail.co.uk.298644	st10	Drink-led pubs and bars performed by far the strongest with like-for-likes up more than restaurants were down.	Пабы и бары, специализирующиеся на продаже алкогольной продукции, показали более высокие результаты по сравнению с ресторанами.
dailymail.co.uk.298644	st10	Food-led pubs also suffered in the sun, although not as dramatically as the restaurant operators.	Пабы, подающие еду, также пострадали от жары, хотя и не так сильно, как рестораны.
dailymail.co.uk.298644	st10	It seems people just wanted to go out for a drink.	Судя по всему, людям просто хочется выпить.
dailymail.co.uk.298644	st10	Across managed pubs and bars drink sales were up 6.6 per cent for the month, with food down three per cent."	В управляемых пабах и барах продажи алкогольных напитков за месяц выросли на 6,6%, продажи продуктов питания - на 3%.
dailymail.co.uk.298644	st10	Paul Newman, of leisure and hospitality analysts RSM said: "These results continue the trend we've seen since the end of April.	Аналитик компании RSM Пол Ньюман заявил: "Аналогичные результаты мы видели в конце апреля, в настоящее время наблюдаются те же тенденции.
dailymail.co.uk.298644	st10	Weather and the impact of major social or sporting events remain the biggest factors when it comes to sales in the out-of-home market.	Погода и проведение крупных спортивных или социальных мероприятий остаются важнейшими факторами, определяющими объем продаж на внешнем рынке.
dailymail.co.uk.298644	st10	It comes as no surprise that restaurant groups continue to struggle, albeit a sales drop of 4.8 per cent year-on-year will be particularly painful on top of ongoing cost pressures.	Неудивительно, что рестораны продолжают бороться, хотя падение продаж на 4,8% в год особенно болезненно отразятся на них на фоне продолжительного повышения расходов.
dailymail.co.uk.298644	st10	The long hot summer could not have come at a worse time for food-led operators and time will tell whether the more moderate temperatures we've experienced in August will provide some much-needed respite."	Долгое жаркое лето оказалось худшим временем для заведений, подающих продукты питания. Время покажет, предоставит ли более мягкая погода, которая была в августе, столь необходимую передышку."
dailymail.co.uk.298644	st10	Total sales growth across pub and restaurants, including new openings, was 2.7 per cent in July, reflecting the slow down in brand roll-outs.	Общий рост продаж в пабах и ресторанах, включая недавно открытые, в июле составил 2,7%, что отражает замедление темпов появления новых брендов.
dailymail.co.uk.298644	st10	The Coffer Peach Tracker industry sales monitor for the UK pub, bar and restaurant sector collects and analyses performance data from 47 operating groups, with a combined turnover of over £9 billion, and is the established industry benchmark.	Компания-монитор отраслевых продаж Coffer Peach Tracker собирает и анализирует данные о производительности 47 пабов, баров и ресторанов Великобритании с совокупным оборотом более 9 миллиардов фунтов, являющихся признанным отраслевым эталоном.
en.ndtv.com.13004	st10	PM Modi Tweets Tribute To Jacques Chirac, Calls Him True Global Statesman, Friend Of India	Премьер-министр Индии Нарендра Моди опубликовал в Твиттере пост в дань уважения Жаку Шираку, назвав его настоящим политиком и другом Индии
en.ndtv.com.13004	st10	Prime Minister Narendra Modi condoled the death of former French president Jacques Chirac, saying India mourns the loss of a true global statesman and friend.	Нарендра Моди выразил соболезнования в связи с кончиной бывшего президента Франции Жака Ширака, заявив, что Индия скорбит о потере великого политика и друга.
en.ndtv.com.13004	st10	Jacques Chirac, who supported India after it conducted nuclear tests in 1998, died on Thursday at age 86. He served as the president of France from 1995 to 2007.	Жак Ширак, поддерживавший Индию с 1998 года, когда между странами было установлено стратегическое партнерство, умер в четверг в возрасте 86 лет. Он занимал пост президента Франции с 1995 по 2007 гг.
en.ndtv.com.13004	st10	"My deepest condolences on passing away of Jacques Chirac. India mourns the loss of a true global statesman. A friend of India, he played a decisive role in establishing and building India-France Strategic Partnership," Prime Minister Modi tweeted.	"Мои глубочайшие соболезнования в связи со смертью Жака Ширака. Индия скорбит о потере по-настоящему великого политика. Он был другом Индии и сыграл решающую роль в установлении и поддержании стратегических отношений между нашими странами," - написал в Твиттере Моди.
en.ndtv.com.13004	st10	India and France have a strategic partnership, initiated in January 1998 during Jacques Chirac's first visit to India. He again visited the country as president in 2006.	Стратегическое партнерство было подписано в ходе первого визита французского президента в Индию в 1998 году. Ширак снова посетил Индию в 2006.
en.ndtv.com.13004	st10	Jacques Chirac was known to have been suffering from ill health for a long time.	Известно, что президент долгое время был болен.
euronews-en.153797	st4	Indonesia earthquake tsunami: hundreds killed	Цунами в результате землетрясения в Индонезии: сотни погибших
euronews-en.153797	st4	At least 384 people have died after an earthquake hit the Indonesian island of Sulawesi on Friday.	По меньшей мере 384 человека погибли в результате землетрясения на индонезийском острове Сулавеси в пятницу.
euronews-en.153797	st4	The 7.5-magnitude earthquake triggered a tsunami and has destroyed thousands of homes.	Землетрясение магнитудой 7,5 балла вызвало цунами и разрушило тысячи домов.
euronews-en.153797	st4	Electricity and communication networks are down with death tolls expected to rise in coming days.	Электричество и коммуникационные сети не работают, и ожидается, что в ближайшие дни число погибших будет расти.
euronews-en.153797	st4	The earthquake hit just off central Sulawesi which is northeast of the Indonesian capital, Jakarta.	Землетрясение произошло недалеко от центра Сулавеси, к северо-востоку от столицы Индонезии Джакарты.
euronews-en.153797	st4	Videos are circulating on social media showing the moment of impact.	В социальных сетях распространяются видеоролики, на которых запечатлен момент толчков.
euronews-en.153797	st4	Hundreds of people had gathered for a beach festival in the city of Palu when the tsunami smashed on shore.	Сотни людей собрались на пляжный фестиваль в городе Палу, когда цунами обрушилось на берег.
euronews-en.153799	st10	Syria 'ready' for refugees to return, says Foreign Minister	Сирия готова к возвращению беженцев, заявил министр иностранных дел Валид аль-Муаллем
euronews-en.153799	st10	Syria says it's ready for the voluntary return of refugees and is appealing for help to rebuild the country devastated by a more than seven-year long war.	Сирия заявляет о готовности к добровольному возвращению беженцев и обращается за помощью в восстановлении страны, разрушенной войной, которая длится уже более 7 лет.
euronews-en.153799	st10	Speaking to the United Nations General Assembly, Foreign minister Walid al-Moualem said conditions in the country are improving.	На выступлении перед Генеральной Ассамблеей ООН министр иностранных дел Сирии Валид аль-Муаллем заявил об улучшении условий в стране.
euronews-en.153799	st10	"Today the situation on the ground is more stable and secure thanks to progress made in combating terrorism," he said.	"В настоящее время ситуация на местах стала более стабильной и безопасной благодаря успехам, достигнутым в борьбе с терроризмом."
euronews-en.153799	st10	The government continues to rehabilitate the areas destroyed by terrorists to restore normalcy.	Правительство продолжает работы по восстановлению разрушенных террористиами районов, возвращая их к нормальной жизни.
euronews-en.153799	st10	All conditions are now present for the voluntary return of refugees to the country they had to leave because of terrorism and the unilateral economic measures that targeted their daily lives and their livelihoods.	На данный момент созданы все условия для добровольного возвращения беженцев в страну, которую им пришлось покинуть из-за терроризма и односторонних экономических санкций, осложнивших их жизнь и лишивших их средств к существованию.
euronews-en.153799	st10	The UN estimates that more than 5.5 million Syrians have fled the country since the war began in 2011.	По данным ООН, более 5,5 млн сирийцев покинули страну с начала войны в 2011 году.
