abcnews.306755	prwmt	Warren plans to take a 'hard look' at running for president	Уоррен планирует "пристально следить" за президентской гонкой
euronews-en.153799	prwmt	The government continues to rehabilitate the areas destroyed by terrorists to restore normalcy.	Правительство продолжает восстанавливать территории, уничтоженные террористами, чтобы вернуться к нормальному положению.
euronews-en.153799	prwmt	All conditions are now present for the voluntary return of refugees to the country they had to leave because of terrorism and the unilateral economic measures that targeted their daily lives and their livelihoods.	В настоящее время существуют все условия для добровольного возвращения беженцев в страну, которую им пришлось покинуть из-за терроризма и односторонних экономических мер, затронувших их жизнь и средства к существованию.
euronews-en.153799	prwmt	The UN estimates that more than 5.5 million Syrians have fled the country since the war began in 2011.	По оценкам ООН, более 5,5 миллионов сирийцев бежали из страны с момента начала войны в 2011 году.
euronews-en.153799	prwmt	Another six million people still living in the country are in need of humanitarian assistance.	Ещё шесть миллионов человек, всё ещё живущих в стране, нуждаются в гуманитарной помощи.
euronews-en.153799	prwmt	Al-Moualem said the Syrian regime would welcome help in rebuilding the devastated country.	Аль-Муаллем заявил, что власти Сирии с благодарностью примут помощь в восстановлении опустошённой страны.
euronews-en.153799	prwmt	But he stressed that it would not accept conditional assistance or help from countries that sponsored the insurgency.	Но он подчеркнул, что они не примут обусловленной помощи и помощи от стран, спонсировавших беспорядки.
euronews-en.153800	prwmt	Erdogan get mixed reception in Cologne	Эрдогана в Кёльне ждал неоднозначный приём
euronews-en.153800	prwmt	There were smiles and blue skies on Saturday (September 29) as the leaders of Turkey and Germany met for breakast in Berlin.	В субботу (29 сентября), когда лидеры Турции и Германии встретились в Берлине за завтраком, их сопровождали улыбки и мирное небо.
euronews-en.153800	prwmt	It's the last day of President Erdogan's controversial visit to Germany - which is aimed at repairing relations beteen the NATO allies.	Это последний день противоречивого визита президента Эрдогана в Германию, целью которого является восстановление отношений между союзниками-членами НАТО.
euronews-en.153800	prwmt	They've fallen out over issues including human rights, press freedom and Turkey's accession to the EU.	Они поссорились из-за разногласий по вопросам прав человека, свободы печати и вступления Турции в Евросоюз.
euronews-en.153800	prwmt	Erdogan then headed for Cologne to open a giant new mosque.	Затем Эрдоган отправился в Кёльн, чтобы отрыть новую гигантскую мечеть.
euronews-en.153800	prwmt	The city is home to the largest Turkish population outside Turkey.	В этом городе проживает самая крупная турецкая диаспора за пределами Турции.
euronews-en.153800	prwmt	Police cited security reasons to block a 25,000-strong crowd from gathering in front of the mosque, but plenty of supporters turned out nearby to see their president.	Мотивируя свои действия соображениями безопасности, полиция помешала толпе в 25000 человек собраться перед мечетью, но многочисленные сторонники собрались неподалёку, чтобы увидеть своего президента.
euronews-en.153800	prwmt	Hundreds of anti-Erdogan protesters - many of them Kurdish - also made their voices heard, condemning both Erdogan's policies and the German government's decision to welcome him to the country.	Сотни протестующих против Эрдогана – многие из них курды – также высказали своё мнение, осуждая как политику Эрдогана, так и решение правительства Гемании принять его в стране.
euronews-en.153800	prwmt	The dueling protests reflect the divisiveness of a visitor hailed as a hero by some German Turks and reviled as an autocrat by others.	Противоречащие друг другу митинги отражают неоднозначное восприятие гостя, которого часть немецких турок прославляют как героя, часть порицают как тирана.
euronews-en.153835	prwmt	Death toll from Indonesia tsunami rises to 832	Число погибших от цунами возросло до 832
euronews-en.153835	prwmt	The death toll in Indonesia's earthquake and tsunami has climbed to 832, the country's disaster agency said early Sunday.	Число погибших от землетрясения и цунами в Индонезии возросло до 832, как сообщило Агентство по чрезвычайным ситуациям страны утром воскресенья. Как сообщило Агентство по чрезвычайным ситуациям страны утром воскресенья, число погибших от землетрясения и цунами в Индонезии возросло до 832.
euronews-en.153835	prwmt	Many people were reported trapped in the rubble of buildings brought down in the 7.5 magnitude earthquake which struck Friday and triggered waves as high as 20 feet, agency spokesman Sutopo Purwo Nugroho told a news conference.	Были сообщения о том, что многие люди застряли в обломках зданий, обрушенных землятресением магнитудой в 7.5 баллов, которое случилось в пятницу и вызвало волны высотой до 20 футов, как сказал на пресс-конференции представитель агентства Сутопо Пурво Нугрохо. По словам представителя агентства Сутопо Пурво Нугрохо на пресс-конференции, были сообщения о том, что многие люди застряли в обломках зданий, обрушенных землятресением магнитудой в 7.5 баллов, которое случилось в пятницу и вызвало волны высотой до 20 футов.
euronews-en.153835	prwmt	The city of Palu, which has more than 380,000 people, was strewn with debris from collapsed buildings.	Город Палу, в котором проживало более 380000 человек, был завален остатками обрушившихся зданий.
foxnews.100074	prwmt	Pompeo accuses Syria of using chemical weapons in May attack	Помпео обвиняет Сирию в использовании химического оружия во время майской атаки
foxnews.100074	prwmt	Secretary of State Mike Pompeo, speaking on the sidelines of the U.N. General Assembly on Thursday, said the United States has concluded the Syrian government used chemical weapons in an attack earlier this year.	В четверг в своем обращении на полях Генеральной Ассамблеи ООН государственный секретарь Майк Помпео заявил, что США пришли к выводу, что Сирия прибегла к химическому оружию во время атаки ранее в этом году.
foxnews.100074	prwmt	Pompeo said U.S. officials had determined Syrian President Bashar Assad's government had used chlorine in the attack on opposition forces in Idlib province on May 19.	По словам Помпео, американские должностные лица установили, что правительство сирийского президента Башара Асада использовало хлор по время атаки на оппозиционные войска в провинции Идлиб 19 мая.
foxnews.100074	prwmt	"The Assad regime is responsible for innumerable atrocities some of which rise to the level of war crimes and crimes against humanity," Pompeo told a news conference.	"На режиме Асада лежит ответственность за бесчисленные зверства, некоторые из которых достигают уровня военных преступлений и преступлений против человечества," — заявил Помпео на пресс-конференции.
foxnews.100074	prwmt	U.S. officials in May said they'd received reports consistent with a chemical attack in northwest Syria but did not offer a definitive conclusion at the time.	В мае официальные лица США говорили, что получали сообщения в подтверждение химической атаки в северо-восточной Сирии, но на тот момент не пришли к окончательному выводу.
foxnews.100074	prwmt	In April 2018, the U.S., Britain and France launched airstrikes in Syria in retaliation for what they described as a suspected chemical attack that killed more than 40 people earlier that month.	В апреле 2018 г. США, Великобритания и Франция нанесли воздушные удары по Сирии в качестве ответной меры за то, что они описали как "предполагаемая химическая атака ранее в этом месяце, унесшая жизни более 40 человек".
foxnews.100074	prwmt	"This is different in some sense because it was chlorine... but know that President Trump has been pretty vigorous in protecting the world from the use of chemical weapons," Pompeo said.	"В определенном смысле это другое, потому что это был хлор... Но знайте, что президент Трамп решительно настроен защитить мир от применения химического оружия," — заявил Помпео .
foxnews.100074	prwmt	He added that the U.S. would provide an additional $4.5 million to the Organization for the Prohibition of Chemical Weapons to fund investigations into other instances of suspected Syrian chemical-weapons use.	Он добавил, что США пожертвует дополнительные 4,5 миллиона долларов Организации по запрещению химического оружия, чтобы профинансировать расследование других случаев использования химического оружия Сирией.
foxnews.100074	prwmt	Pompeo also called on the Assad government to release thousands of unjustly detained prisoners, including American journalist Austin Tice, who has been missing and presumed held by the government for seven years.	Помпео также призвал правительство Асада освободить тысячи несправедливо взятых под стражу узников, в числе которых американский журналист Остин Тайс, пропавший без вести и предположительно семь лет удерживаемый правительством.
foxnews.100074	prwmt	"He is just one of a number of American citizens held in Syria and we call upon the Syrian regime to release them all."	Он всего лишь один из многочисленных американских граждан, удерживаемых в Сирии, и мы призываем сирийский режим освободить их всех.
gateway-zh.135	prwmt	Matt de Grood shouldn't be punished because of schizophrenia stigma	Матт де Гроод должен быть освобожден от наказания из-за стигмы, связанной с шизофренией
gateway-zh.135	prwmt	In 2016, Matthew de Grood, the man who killed five people at a house party in Calgary, was found to be not criminally responsible for his actions.	В 2016 году Матт де Гроод, убивший пятерых человек на домашней вечеринке в Калгари, был освобожден от уголовной ответственности за свои действия.
gateway-zh.135	prwmt	Now, in 2019, there is a hearing to determine whether or not he should be allowed more freedoms, such as unsupervised outings. The decision won't come for a few more weeks, so in the meantime we're left to wonder whether or not this is a good idea. There are two sides to this: one citing his violent behaviour in the past, calling to prevent it from happening again, and the other side which believes in the power of change and rehabilitation.	Теперь, в 2019 году, суд должен определить, стоит ли предоставить ему больше свобод, например, разрешить прогулки без присмотра. Решение будет опубликовано только через несколько недель, а пока нам остается задаваться вопросом, хороша ли эта идея. В этом вопросе есть две точки зрения: одни ссылаются на жестокое поведение в прошлом и призывают предотвратить его в будущем, другие верят в силу перемен и возможность выздоровления.
gateway-zh.135	prwmt	First, let's examine the more pessimistic side. De Grood did stab and kill five people during a psychotic break. It was a violent and unpredictable attack. He suffers from schizophrenia, which is why he was found not criminally responsible, but has since been seeing a psychiatrist and taking his medication. His psychiatrist, Dr. Santoch Rai, has said in front of the review board that "if Matthew de Grood were to commit another offence, it would be severe." Despite his perceived improvement, there is still risk of re-offense. But is this reason enough to remain afraid? Is it enough to keep de Grood locked up?	Давайте сначала обратимся к мнению пессимистов. Де Гроод действительно зарезал пятерых человек в момент прихотического срыва. Это было жестокое и внезапное нападение. Он страдает от шизофрении, поэтому его и освободили от уголовной ответственности, но с тех пор он посещал психиатра и принимал лекарства. Его психиатр, д-р Сантос Рай, сказал апелляционной комиссии, что "если Мэтью де Гроод соберется совершить еще одно нападение, это будет тяжкое преступление". Несмотря на кажущееся улучшение, риск повторного преступления все еще существует. Но является ли это достаточной причиной для опасений? Является ли это достаточным основанием для того, чтобы держать де Гроода взаперти?
gateway-zh.135	prwmt	As long as de Grood continues to take his medication, there isn't a huge risk of reoffense, so why are people so concerned? I believe the stigma surrounding people with mental illness, particularly those with schizophrenia, largely influences this fear. Certain mental illnesses have become less stigmatized, such as mood and anxiety disorders. But others, including schizophrenia, remain highly stigmatized. This is in large part due to numerous portrayals of schizophrenics as dangerous people with voices in their heads telling them to kill people.	Если де Гроод продолжит прием лекарств, риск повторного нападения не так высок, так почему же люди настолько обеспокоены? Я считаю, этот страх во многом связан со стигмой, которая окружает людей с психическими заболеваниями, особенно с шизофренией. Некоторые психические заболевания, такие как расстройства настроения или повышенная тревожность, сейчас стигматизируются меньше. Однако другие, включая шизофрению, до сих пор сильно стигматизированы. Во многом на это повлияли представления о шизофрениках как об опасных людях с голосами в голове, которые приказывают им убивать людей.
gateway-zh.135	prwmt	That was the case in this situation, but these instances are rare, and that's perhaps why we remember them so well when they occur. In fact, the majority of schizophrenic individuals are nonviolent, and are more likely to be the victims rather than the perpetrators of crime or violence. In light of this, it seems unreasonable to insist that de Grood be denied certain freedoms when the fear of re-offense is based more on a prejudiced attitude towards people with schizophrenia than actual likelihood.	Как раз это произошло в этой ситуации, но такие случаи редки, наверное поэтому мы так хорошо запоминаем, когда они происходят. На самом деле, большинство шизофреников не агрессивны и чаще становятся жертвами, чем преступниками и насильниками. В этом свете кажется бессмысленным настаивать на том, чтобы ограничить свободы де Гроода, если страх повторного нападения основан скорее на предрассудках против людей, больных шизофренией, нежели чем на реальной вероятности преступления. 
gateway-zh.135	prwmt	I don't believe de Grood should ever be unsupervised permanently. A parole-like system where he has to check in to make sure he's still taking his medication could work well. Arguing that he or other mentally ill people remain institutionalized unless absolutely necessary is a form of segregation. It perpetuates the idea that mentally ill people, those with schizophrenia in particular, cannot ever mesh with society; thus continuing the stigma and perpetuating the idea that they are dangerous criminals. He was found not criminally responsible by a court of law, so why should he be treated like a prisoner instead of someone who was ill and is now better?	Я не думаю, что де Гроода можно оставить без постоянного наблюдения. Достаточно системы, основанной на доверии, чтобы он регулярно отправлял сообщения в подтверждение того, что он продолжает принимать лекарства. Утверждение о том, что его или других людей с психическими заболеваниями нужно помещать в специальные учреждения, если только нет крайней необходимости в обратном, - это форма сегрегации. Оно подкрепляет идею о том, что психически больные люди, особенно страдающие шизофренией, не могут быть частью общества, таким образом поддерживая стигматизацию и подкрепляя идею о том, что они являются опасными преступниками. Суд признал освободил его от уголовной ответственности, так почему же с ним нужно обращаться, как с заключенным, а не как с человеком, который был болен и идет на поправку?
independent.226349	prwmt	Russian Grand Prix: Lewis Hamilton closes in on world title after team orders hand him win over Sebastian Vettel	Гран-при России: Льюис Хэмилтон приближается к чемпионскому титулу после того, как распоряжения команды обеспечили ему победу над Себастьяном Феттелем
independent.226349	prwmt	It became clear from the moment that Valtteri Bottas qualified ahead of Lewis Hamilton on Saturday that Mercedes" team orders would play a large part in the race.	С того момента, как Валттери Боттас обогнал Льюиса Хэмилтона в квалификационном заезде в субботу, стало ясно, что распоряжения команды «Мерседес» сыграют большую роль в гонке.
independent.226349	prwmt	From pole, Bottas got a good start and almost hung Hamilton out to dry as he defended his position in the first two turns and invited Vettel to attack his teammate.	Боттас удачно стартовал с поул-позиции и практически бросил Хэмилтона на произвол судьбы, защищая свою позицию на первых двух поворотах и позволив Феттелю атаковать своего товарища по команде.
independent.226349	prwmt	Vettel went into the pits first and left Hamilton to run into the traffic at the tail of the pack, something which should have been decisive.	Феттель первым заехал на пит-стоп и предоставил Хэмилтону попасть в пробку в хвосте группы, что должно было иметь решающее значение.
independent.226349	prwmt	The Mercedes pitted a lap later and came out behind Vettel, but Hamilton went ahead after some wheel-to-wheel action that saw the Ferrari driver reluctantly leave the inside free at risk of holding out after a double-move to defend on the third corner.	Пилот команды «Мерседес» заехал на пит-стоп на круг позднее и выехал уже за Феттелем, но Хэмилтон вырвался вперёд после того, как их колеса соприкоснулись из-за чего, пилоту «Феррари» неохотно пришлось освободить внутреннюю часть трека, боясь остаться в хвосте после «двойного хода» не давая сопернику обогнать его на третьем повороте.
independent.226349	prwmt	Max Verstappen started from the back row of the grid and was in seventh by the end of the first lap on his 21st birthday.	В свой двадцать первый день рождения Макс Ферстаппен начал гонку с последней позиции стартовой решётки, а к концу первого круга был на седьмой.
independent.226349	prwmt	He then led for a large part of the race as he held onto his tyres to target a quick finish and overtake Kimi Raikkonen for fourth.	Затем он лидировал на протяжении большей части заезда, пока не менял колёса, чтобы быстрее финишировать и, обойдя Кими Райкконена, занять четвёртое место.
independent.226349	prwmt	He eventually came into the pits on the 44th lap but was unable to increase his pace in the remaining eight laps as Raikkonen took fourth.	В конце концов он заехал на пит-стоп на 44 круге, но не смог увеличить свою скорость на оставшихся восьми кругах, в то время как Райкконен занял четвёртое место.
independent.226349	prwmt	It's a difficult day because Valtteri did a fantastic job all weekend and was a real gentleman told let me by.	Это тяжёлый день, потому что Валттери все выходные был фантастическим молодцом, и повёл себя, как настоящий джентльмен, пропустив меня.
independent.226349	prwmt	The team have done such an exceptional job to have a one two," said Hamilton.	Команда так великолепно выступила, что получила первое и второе места – сказал Хэмилтон.
kcal.279	prwmt	Father Remains Hopeful That Suspect Who Fatally Shot Son One Year Ago Will Be Caught	Уже год отец не теряет надежды, что застреливший его сына преступник будет пойман – CBS Los Angeles
kcal.279	prwmt	It's been one year since a 20-year-old from Long Beach was fatally shot, but the victim's family isn't giving up hope that the shooter will be caught.	ЛОНГ-БИЧ (CBSLA) – Год назад в городе Лонг-Бич штата Калифорния застерлили 20-летнего парня, однако его семья все еще надеется, что виновного найдут.
kcal.279	prwmt	"I wish I could trade places with you son, I wish I could trade places with you," Guy Alford, the victim's father, said.	«Если бы я мог, я бы занял твое место, сынок», – говорит отец жертвы Гай Альфорд.
kcal.279	prwmt	Alford came back to the scene of the crime exactly one year after his son, Guy Alford III, was gunned down at a Jack In The Box near 52nd and Atlantic. He said he wanted to call attention to his son's unsolved murder.	Альфорд вернулся на место преступления спустя год после того, как его сына Гая Альфорда Третьего застрелили рядом с фастфудом Jack In The Box между 52-й улицей и улицей Атлантик. По словам отца, он хотел обратить внимание общественности на нераскрытое убийство своего сына.
kcal.279	prwmt	"Somebody knows something, they need to say something," he said.	«Кто-то точно должен что-то знать, и они должны перестать молчать», – заявил отец.
kcal.279	prwmt	Security video, which has never been released, showed Alford stopped in the drive-thru when a second car pulled up behind him. Three suspects were then seen getting out of that car. One of them walked up to the driver's side, and shot Alford. The four people in Alford's car jumped out and ran. The suspects were then seen getting back into their car and driving away.	На неопубликованном видео с камеры наблюдения видно, как Альфорд младший остановился у автокафе, а за ним остановилась другая машина. Из второй машины вышло трое подозреваемых. Один из них подошел к водительскому окну и застрелил Альфорда. Четверо человек, находившихся в тот момент в машине с Альфордом, выскочили и убежали. Подозреваемые вернулись в свою машину и уехали.
kcal.279	prwmt	"Wherever this coward is, he will get caught," Alford said.	«Кем бы этот трус ни был, его обязательно поймают», - заключил отец Альфорда.
kcal.279	prwmt	This grieving father said he has no idea who would want to hurt his son, and he said he still didn't know who was in the car with him when he was shot.	Скорбящий отец также сказал, что понятия не имеет, кто мог точить зуб на его сына, и не знал, кто был с ним в машине в момент убийства.
kcal.279	prwmt	"They upped and ran out of my son's car like that, where did you run to," Alford said. "Did you go back and try to help him or what? Nobody said nothing."	«Они просто взяли и выбежали из машины моего сына, куда они могли убежать?», – задался вопросом Альфорд. «Вы хоть попытались вернуться и помочь ему?» На этот вопрос ответа не было.
kcal.279	prwmt	Alford said his son was a star football player at Alemany High School, then a stand-out safety on the Long Beach City College football team. Alford said his son was working toward playing for a Division 1 school and had dreams of becoming a nurse.	Альфорд сказал, что его сын обучался в средней школе Alemany и был там известным футболистом, а затем и отличным защитником в футбольной команде колледжа Long Beach City College. Альфорд также сказал, что его сын стремился стать игроком первого дивизиона и мечтал стать медбратом.
kcal.279	prwmt	"He was working three jobs," Michael Harvey, a friend, said. "As somebody who's 21, he was a year younger than me, anybody with that type of hustle and work ethic, you tend to look up to."	«Он работал на трех работах», - подтвердил друг жертвы Майкл Харви. «Мне 21, он был на год меня младше, он горел работой и его переполняло энергией, я на него равнялся».
kcal.279	prwmt	As the investigation into the fatal shooting continues, Alford said he wasn't giving up either.	Расследование продолжается, и отец Альфорда тоже не собирается сдаваться.
kcal.279	prwmt	"I can assure you, this one is going to get solved," he said.	«Я абсолютно уверен, это дело будет раскрыто», – заявил он.
kcal.279	prwmt	Alford is personally offering a $2,000 reward for information that leads to an arrest and conviction. Anyone with information about this crime is urged to call Long Beach police.	Альфорд лично предложил вознаграждение в две тысячи долларов за любую информацию, которая позволит арестовать виновных и вынести им приговор. Если вы что-то знаете о жертве, то незамедлительно позвоните в полицию Лонг-Бича.
nytimes.184804	prwmt	U.S. Weighed Penalizing El Salvador Over Support for China, Then Backed Off	США взвесили возможность снкций в отношении Сальвадора за поддержку Китая, затем сдали назад
nytimes.184804	prwmt	Diplomats noted that the Dominican Republic and Panama had already recognized Beijing, with little pushback from Washington.	Дипломаты отметили, что Доминиканская республика и Панама уже признали Пекин при некотором сопротивлении со стороны Вашингтона.
nytimes.184804	prwmt	Mr. Trump had a warm meeting with President Juan Carlos Varela of Panama in June 2017 and had a hotel in Panama until partners evicted the Trump Organization's management team.	Г-н Трамп провел теплую встречу с президентом Панамы Хуаном Карлосом Варелой в июне 2017 и владел отелем в Панаме, пока партнеры не лишили группу управленцев Организации Трампа собственности по суду.
nytimes.184804	prwmt	State Department officials decided to call back the American chiefs of diplomatic missions from El Salvador, the Dominican Republic and Panama over the "recent decisions to no longer recognize Taiwan," Heather Nauert, the department's spokeswoman, said in a statement early this month.	Служащие Государственного департамента решили отозвать американских руководителей дипломатических миссий из Сальвадора, Доминиканской республики и Панамы из-за "недавних решений больше не признавать Тайвань", - сказала Хизер Науэрт, представительница департамента, в заявлении в начале этого месяца.
nytimes.184804	prwmt	But penalties were only considered against El Salvador, which received an estimated $140 million in American aid in 2017, including for narcotics controls, development and economic support.	Но санкции обсуждались только в отношении Сальвадора, который получил около 140 миллионов долларов американской помощи в 2017 году, в том числе на наркоконтроль, развитие и поддержку экономики.
nytimes.184804	prwmt	The proposed penalties, which included cuts to financial aid and targeted visa restrictions, would have been painful for the Central American country and its high unemployment and murder rates.	Предложенные санкции которые включали сокращение финансовой помощи и целевые визовые ограничения, были бы болезненными для государства в Центральной Америке и его высокой безработицы и большого количества убийств.
nytimes.184804	prwmt	As internal meetings progressed, North American and Central American officials postponed a high-level conference focused on security and economic prosperity to follow up a similar gathering last year that was seen as a step forward in efforts to prevent migrants from heading to the United States.	Поскольку проводились внутренние встречи, североамериканские и центральноамериканские чиновники отложили конференцию на высоком уровне, посвященные безопасности и экономическому процветанию, чтобы довести до конца повестку аналогичной прошлогодней встречи, которая рассматривалась как шаг вперед в попытках предотвратить поток мигрантов в Соединенные Штаты.
nytimes.184804	prwmt	But by mid-September, top administration officials made clear that they wanted the conference to go forward, effectively ending any consideration of penalties for El Salvador.	Однако к середине сентября высшие административные служащие ясно показали, что они хотят продолжения конференции, фактически прекратив любые рассмотрения санкций в отношении Сальвадора.
nytimes.184804	prwmt	Vice President Mike Pence is now slated to address the conference, now scheduled for mid-October, in a signal of the import the administration places on the gathering, the diplomats said.	По словам дипломатов, вице-президент Майк Пенс сейчас планирует выступить на конференции, назначенной теперь на середину октября, в знак того, что администрация примет участие в собрании.
nytimes.184804	prwmt	And the three American envoys quietly returned to El Salvador, Panama and the Dominican Republic with no new tough messages or punishments from Washington.	И все три американских представителя тихо вернулись в Сальвадор, панаму и Доминиканскую республику без каких-либо новых сложных сообщений или наказаний от Вашингтона.
nytimes.184804	prwmt	A White House spokesman for Mr. Bolton declined to comment on the details of the debate that were described by the three American officials, including two diplomats, who agreed to discuss the internal deliberations on the condition of anonymity.	Представитель Белого дома от лица г-на Болтона отказался комментировать детали дебатов, которые были предоставлены тремя американскими чиновниками, включая двух дипломатов, которые согласились обсуждать внутренние дискуссии на условиях анонимности.
nytimes.184804	prwmt	Their accounts were corroborated by an outside analyst who is close to the administration and also spoke on the condition of anonymity.	Их сообщения были подтвердил близкий к администрации внешний аналитик, который также говорил на условиях анонимности.
nytimes.184862	prwmt	Hundreds of Migrant Children Quietly Moved to a Tent Camp on the Texas Border	Сотни детей мигрантов тайно перевозит в палаточный лагерь на границе Техаса
nytimes.184862	prwmt	The number of detained migrant children has spiked even though monthly border crossings have remained relatively unchanged, in part because harsh rhetoric and policies introduced by the Trump administration have made it harder to place children with sponsors.	Число задержанный детей мигрантов резко подскочило, хотя среднемесячное количество переходов границы осталось относительно неизменным, частично потому, что жёсткая риторика и политика, принятые администрацией Трампа, усложнили задачу найти детям спонсоров.
nytimes.184862	prwmt	Traditionally, most sponsors have been undocumented immigrants themselves, and have feared jeopardizing their own ability to remain in the country by stepping forward to claim a child.	Как правило, большинство спонсоров сами были нелегальными иммигрантами, и боялись поставить под удар собственное пребывание в стране, вызвавшись и заявив права на ребёнка.
nytimes.184862	prwmt	The risk increased in June, when federal authorities announced that potential sponsors and other adult members of their households would have to submit fingerprints, and that the data would be shared with immigration authorities.	Риск увеличился в июне, когда федеральные власти объявили, что потенциальные спонсоры и остальные взрослые члены их семей должны будут предоставить отпечатки пальцев, и данные будут переданы миграционным органам.
nytimes.184862	prwmt	Last week, Matthew Albence, a senior official with Immigration and Customs Enforcement, testified before Congress that the agency had arrested dozens of people who applied to sponsor unaccompanied minors.	На прошлой неделе Мэтью Олбанс, высшее официальное лицо Службы иммиграционного и таможенного контроля, заявил перед Конгрессом, что агентство арестовало десятки человек, заявивших о своём желании спонсировать несовершеннолетних без сопровождения.
nytimes.184862	prwmt	The agency later confirmed that 70 percent of those arrested did not have prior criminal records.	Позднее агентство подтвердило, что у 70 процентов задержанных ранее не было судимости.
nytimes.184862	prwmt	"Close to 80 percent of the individuals that are either sponsors or household members of sponsors are here in the country illegally, and a large chunk of those are criminal aliens.	«Около 80 процентов лиц, являющихся либо спонсорами, либо членами семей спонсоров, находятся здесь, в стране, нелегально, и большая их доля является преступниками.
nytimes.184862	prwmt	So we are continuing to pursue those individuals," Mr. Albence said.	Поэтому мы продолжаем преследовать этих лиц», - заявил Олбанс.
nytimes.184862	prwmt	Seeking to process the children more quickly, officials introduced new rules that will require some of them to appear in court within a month of being detained, rather than after 60 days, which was the previous standard, according to shelter workers.	Желая разобраться с детьми побыстрее, чиновники ввели новые правила, по которым некоторым из них придётся появиться в суде в течение месяца после задержания, а не через 60 дней, что было предыдущей нормой, сообщают сотрудники приюта.
nytimes.184862	prwmt	Many will appear via video conference call, rather than in person, to plead their case for legal status to an immigration judge.	Многие появятся не лично, а посредством видеосвязи, чтобы обосновать свои претензии на легальный статус перед иммиграционным судьёй.
